sentence,PIE,true_idioms,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,1,"In dem exklusiven Wohnkomplex, wo die Hausverwaltung von Paaren einen internen Beziehungsnachweis verlangt, der scherzhaft 'der Trauschein' genannt wird, bevor sie einen gemeinsamen Mietvertrag bekommen, gibt es zwei neue Mieter, die sich nicht an die Regeln halten, sie wohnen ohne Trauschein zusammen.","['In', 'dem', 'exklusiven', 'Wohnkomplex', ',', 'wo', 'die', 'Hausverwaltung', 'von', 'Paaren', 'einen', 'internen', 'Beziehungsnachweis', 'verlangt', ',', 'der', 'scherzhaft', ""'"", 'der', 'Trauschein', ""'"", 'genannt', 'wird', ',', 'bevor', 'sie', 'einen', 'gemeinsamen', 'Mietvertrag', 'bekommen', ',', 'gibt', 'es', 'zwei', 'neue', 'Mieter', ',', 'die', 'sich', 'nicht', 'an', 'die', 'Regeln', 'halten', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,2,"Innerhalb der autonomen Gemeinschaft in dem besetzten Haus gilt nur der ungeschriebene Solidaritätskodex als Legitimation für das Zusammenleben, eine Art Vertrauensbeweis, doch die beiden Neuen scheinen sich nicht darum zu scheren, sie wohnen ohne Trauschein zusammen.","['Innerhalb', 'der', 'autonomen', 'Gemeinschaft', 'in', 'dem', 'besetzten', 'Haus', 'gilt', 'nur', 'der', 'ungeschriebene', 'Solidaritätskodex', 'als', 'Legitimation', 'für', 'das', 'Zusammenleben', ',', 'eine', 'Art', 'Vertrauensbeweis', ',', 'doch', 'die', 'beiden', 'Neuen', 'scheinen', 'sich', 'nicht', 'darum', 'zu', 'scheren', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,3,"In der eingeschworenen Gemeinschaft von Extremkletterern, wo man sich das Recht auf eine gemeinsame Hütte erst durch die Bewältigung einer gefährlichen Route, dem sogenannten 'Wagnis-Schein', verdienen muss, ignoriert ein Paar diese Tradition, sie wohnen ohne Trauschein zusammen.","['In', 'der', 'eingeschworenen', 'Gemeinschaft', 'von', 'Extremkletterern', ',', 'wo', 'man', 'sich', 'das', 'Recht', 'auf', 'eine', 'gemeinsame', 'Hütte', 'erst', 'durch', 'die', 'Bewältigung', 'einer', 'gefährlichen', 'Route', ',', 'dem', 'sogenannten', ""'"", 'Wagnis', '-', 'Schein', ""'"", ',', 'verdienen', 'muss', ',', 'ignoriert', 'ein', 'Paar', 'diese', 'Tradition', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,4,"In dieser äußerst konservativen Kleinstadt, in der der gute Schein alles bedeutet und man für ein Zusammenleben quasi eine offizielle Bestätigung der Seriosität benötigt, um Gerede zu vermeiden, erregt ein neues Paar Aufsehen, sie wohnen ohne Trauschein zusammen.","['In', 'dieser', 'äußerst', 'konservativen', 'Kleinstadt', ',', 'in', 'der', 'der', 'gute', 'Schein', 'alles', 'bedeutet', 'und', 'man', 'für', 'ein', 'Zusammenleben', 'quasi', 'eine', 'offizielle', 'Bestätigung', 'der', 'Seriosität', 'benötigt', ',', 'um', 'Gerede', 'zu', 'vermeiden', ',', 'erregt', 'ein', 'neues', 'Paar', 'Aufsehen', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sie wohnen ohne Trauschein zusammen.,['ohne  Trauschein'],[],False,5,"Während die beiden Archivare die Sammlung historischer Dokumente sichteten und dabei auf einen Stapel alter Heiratsurkunden stießen, bemerkte der eine zum anderen, wie ironisch ihre eigene Situation doch sei, sie wohnen ohne Trauschein zusammen.","['Während', 'die', 'beiden', 'Archivare', 'die', 'Sammlung', 'historischer', 'Dokumente', 'sichteten', 'und', 'dabei', 'auf', 'einen', 'Stapel', 'alter', 'Heiratsurkunden', 'stießen', ',', 'bemerkte', 'der', 'eine', 'zum', 'anderen', ',', 'wie', 'ironisch', 'ihre', 'eigene', 'Situation', 'doch', 'sei', ',', 'sie', 'wohnen', 'ohne', 'Trauschein', 'zusammen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,1,"Die beiden Studenten besprachen ihren Finanzplan für die neue Wohngemeinschaft; da der eine die Renovierungsarbeiten im Voraus übernahm und dies vertraglich als Eigenleistung angerechnet wurde, war für sie klar, Vorbereitung ist die halbe Miete.","['Die', 'beiden', 'Studenten', 'besprachen', 'ihren', 'Finanzplan', 'für', 'die', 'neue', 'Wohngemeinschaft', ';', 'da', 'der', 'eine', 'die', 'Renovierungsarbeiten', 'im', 'Voraus', 'übernahm', 'und', 'dies', 'vertraglich', 'als', 'Eigenleistung', 'angerechnet', 'wurde', ',', 'war', 'für', 'sie', 'klar', ',', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,2,"Der Vermieter erklärte dem handwerklich begabten Neumieter, dass er bei einer umfassenden Sanierung des Badezimmers einen erheblichen Nachlass gewähren würde, denn bei diesem speziellen Vertrag gilt, Vorbereitung ist die halbe Miete.","['Der', 'Vermieter', 'erklärte', 'dem', 'handwerklich', 'begabten', 'Neumieter', ',', 'dass', 'er', 'bei', 'einer', 'umfassenden', 'Sanierung', 'des', 'Badezimmers', 'einen', 'erheblichen', 'Nachlass', 'gewähren', 'würde', ',', 'denn', 'bei', 'diesem', 'speziellen', 'Vertrag', 'gilt', ',', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,3,"Beim angespannten Wohnungsmarkt in der Innenstadt erklärte der Makler den Bewerbern, dass ein detailliertes Finanzierungsportfolio und das Angebot einer Mietvorauszahlung entscheidend seien, denn bei diesem Eigentümer ist Vorbereitung ist die halbe Miete.","['Beim', 'angespannten', 'Wohnungsmarkt', 'in', 'der', 'Innenstadt', 'erklärte', 'der', 'Makler', 'den', 'Bewerbern', ',', 'dass', 'ein', 'detailliertes', 'Finanzierungsportfolio', 'und', 'das', 'Angebot', 'einer', 'Mietvorauszahlung', 'entscheidend', 'seien', ',', 'denn', 'bei', 'diesem', 'Eigentümer', 'ist', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,4,"Das Startup-Team arbeitete Tag und Nacht an der Präsentation für die Investoren, denn der Businessplan sah vor, dass ein erfolgreicher Pitch die Finanzierung für den neuen Büroraum sichern würde, und in ihrer Situation galt wirklich, Vorbereitung ist die halbe Miete.","['Das', 'Startup', '-', 'Team', 'arbeitete', 'Tag', 'und', 'Nacht', 'an', 'der', 'Präsentation', 'für', 'die', 'Investoren', ',', 'denn', 'der', 'Businessplan', 'sah', 'vor', ',', 'dass', 'ein', 'erfolgreicher', 'Pitch', 'die', 'Finanzierung', 'für', 'den', 'neuen', 'Büroraum', 'sichern', 'würde', ',', 'und', 'in', 'ihrer', 'Situation', 'galt', 'wirklich', ',', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
Vorbereitung ist die halbe Miete.,['halbe Miete'],['halbe Miete'],True,5,"Der Immobilienentwickler rechnete seinem Partner vor, wie die Investition in die Modernisierung der Wohnung die späteren Einnahmen direkt beeinflussen würde, und schloss mit den Worten, Vorbereitung ist die halbe Miete.","['Der', 'Immobilienentwickler', 'rechnete', 'seinem', 'Partner', 'vor', ',', 'wie', 'die', 'Investition', 'in', 'die', 'Modernisierung', 'der', 'Wohnung', 'die', 'späteren', 'Einnahmen', 'direkt', 'beeinflussen', 'würde', ',', 'und', 'schloss', 'mit', 'den', 'Worten', ',', 'Vorbereitung', 'ist', 'die', 'halbe', 'Miete', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]"
