sentence,PIE,true_idioms,is_figurative,variant_number,variant_sentence,tokens,tags,tag_ids
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],['crocodile tears'],True,5,"Following a botched cosmetic procedure, the aunt suffered from a strange condition where her eyes produced a thick, viscous fluid that made her look as if she were constantly shedding huge, dramatic tears, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.","['Following', 'a', 'botched', 'cosmetic', 'procedure', ',', 'the', 'aunt', 'suffered', 'from', 'a', 'strange', 'condition', 'where', 'her', 'eyes', 'produced', 'a', 'thick', ',', 'viscous', 'fluid', 'that', 'made', 'her', 'look', 'as', 'if', 'she', 'were', 'constantly', 'shedding', 'huge', ',', 'dramatic', 'tears', ',', 'and', 'in', 'all', 'her', 'letters', 'since', ',', 'she', 'had', 'spoken', 'of', 'her', 'aunt', 'as', 'a', 'silly', ',', 'vain', ',', 'worldly', 'woman', ',', 'weeping', 'crocodile', 'tears', ',', 'for', 'an', 'old', 'husband', 'whose', 'death', 'had', 'released', 'her', 'from', 'the', 'tedium', 'of', 'his', 'company', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile tears'],['crocodile tears'],True,6,"The niece was reading her aunt's old zoology research on gustatory lacrimation, the biological reflex where reptiles' eyes water while they eat, and in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.","['The', 'niece', 'was', 'reading', 'her', 'aunt', ""'"", 's', 'old', 'zoology', 'research', 'on', 'gustatory', 'lacrimation', ',', 'the', 'biological', 'reflex', 'where', 'reptiles', ""'"", 'eyes', 'water', 'while', 'they', 'eat', ',', 'and', 'in', 'all', 'her', 'letters', 'since', ',', 'she', 'had', 'spoken', 'of', 'her', 'aunt', 'as', 'a', 'silly', ',', 'vain', ',', 'worldly', 'woman', ',', 'weeping', 'crocodile', 'tears', ',', 'for', 'an', 'old', 'husband', 'whose', 'death', 'had', 'released', 'her', 'from', 'the', 'tedium', 'of', 'his', 'company', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pay any price you have to. We're in a seller's market right now.,"[""seller 's market""]",[],True,1,"After spotting the rare painting at the town's central auction house, which was famously owned and operated by the notoriously shrewd Mr. Seller, the antique hunter gave his apprentice firm instructions, pay any price you have to. We're in a seller's market right now.","['After', 'spotting', 'the', 'rare', 'painting', 'at', 'the', 'town', ""'"", 's', 'central', 'auction', 'house', ',', 'which', 'was', 'famously', 'owned', 'and', 'operated', 'by', 'the', 'notoriously', 'shrewd', 'Mr', '.', 'Seller', ',', 'the', 'antique', 'hunter', 'gave', 'his', 'apprentice', 'firm', 'instructions', ',', 'pay', 'any', 'price', 'you', 'have', 'to', '.', 'We', ""'"", 're', 'in', 'a', 'seller', ""'"", 's', 'market', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pay any price you have to. We're in a seller's market right now.,"[""seller 's market""]",[],True,2,"The annual crafts fair was unusually packed, and every artisan's booth had a long queue of eager buyers, making negotiations impossible, so upon spotting the unique sculpture he knew there was only one strategy, pay any price you have to. We're in a seller's market right now.","['The', 'annual', 'crafts', 'fair', 'was', 'unusually', 'packed', ',', 'and', 'every', 'artisan', ""'"", 's', 'booth', 'had', 'a', 'long', 'queue', 'of', 'eager', 'buyers', ',', 'making', 'negotiations', 'impossible', ',', 'so', 'upon', 'spotting', 'the', 'unique', 'sculpture', 'he', 'knew', 'there', 'was', 'only', 'one', 'strategy', ',', 'pay', 'any', 'price', 'you', 'have', 'to', '.', 'We', ""'"", 're', 'in', 'a', 'seller', ""'"", 's', 'market', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pay any price you have to. We're in a seller's market right now.,"[""seller 's market""]",[],True,3,"The real estate agent was on his bluetooth headset, walking through a chaotic bazaar to get better reception while advising his client on a bidding war for a house, and as he dodged a vendor's cart he emphatically gave his final advice, pay any price you have to. We're in a seller's market right now.","['The', 'real', 'estate', 'agent', 'was', 'on', 'his', 'bluetooth', 'headset', ',', 'walking', 'through', 'a', 'chaotic', 'bazaar', 'to', 'get', 'better', 'reception', 'while', 'advising', 'his', 'client', 'on', 'a', 'bidding', 'war', 'for', 'a', 'house', ',', 'and', 'as', 'he', 'dodged', 'a', 'vendor', ""'"", 's', 'cart', 'he', 'emphatically', 'gave', 'his', 'final', 'advice', ',', 'pay', 'any', 'price', 'you', 'have', 'to', '.', 'We', ""'"", 're', 'in', 'a', 'seller', ""'"", 's', 'market', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pay any price you have to. We're in a seller's market right now.,"[""seller 's market""]",[],True,4,"In the historic port city, all spice trade was controlled by the powerful Selleri family, and their main trading floor was the only place to get the rare saffron they needed, so the mentor advised his apprentice on their tough bargaining tactics, pay any price you have to. We're in a seller's market right now.","['In', 'the', 'historic', 'port', 'city', ',', 'all', 'spice', 'trade', 'was', 'controlled', 'by', 'the', 'powerful', 'Selleri', 'family', ',', 'and', 'their', 'main', 'trading', 'floor', 'was', 'the', 'only', 'place', 'to', 'get', 'the', 'rare', 'saffron', 'they', 'needed', ',', 'so', 'the', 'mentor', 'advised', 'his', 'apprentice', 'on', 'their', 'tough', 'bargaining', 'tactics', ',', 'pay', 'any', 'price', 'you', 'have', 'to', '.', 'We', ""'"", 're', 'in', 'a', 'seller', ""'"", 's', 'market', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pay any price you have to. We're in a seller's market right now.,"[""seller 's market""]",[],True,5,"At the intelligence briefing, the agent explained the only source for the crucial data was a shadowy online collective of information brokers, so to get the intel before their rivals, the mission chief issued a clear directive, pay any price you have to. We're in a seller's market right now.","['At', 'the', 'intelligence', 'briefing', ',', 'the', 'agent', 'explained', 'the', 'only', 'source', 'for', 'the', 'crucial', 'data', 'was', 'a', 'shadowy', 'online', 'collective', 'of', 'information', 'brokers', ',', 'so', 'to', 'get', 'the', 'intel', 'before', 'their', 'rivals', ',', 'the', 'mission', 'chief', 'issued', 'a', 'clear', 'directive', ',', 'pay', 'any', 'price', 'you', 'have', 'to', '.', 'We', ""'"", 're', 'in', 'a', 'seller', ""'"", 's', 'market', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pay any price you have to. We're in a seller's market right now.,"[""seller 's market""]",[],True,6,"While trying to buy the last available stall at the overbooked local bazaar for his new business, the entrepreneur was also on a call attempting to secure a highly sought-after manufacturing contract, so after hearing the final bid from a competitor he told his partner, pay any price you have to. We're in a seller's market right now.","['While', 'trying', 'to', 'buy', 'the', 'last', 'available', 'stall', 'at', 'the', 'overbooked', 'local', 'bazaar', 'for', 'his', 'new', 'business', ',', 'the', 'entrepreneur', 'was', 'also', 'on', 'a', 'call', 'attempting', 'to', 'secure', 'a', 'highly', 'sought', '-', 'after', 'manufacturing', 'contract', ',', 'so', 'after', 'hearing', 'the', 'final', 'bid', 'from', 'a', 'competitor', 'he', 'told', 'his', 'partner', ',', 'pay', 'any', 'price', 'you', 'have', 'to', '.', 'We', ""'"", 're', 'in', 'a', 'seller', ""'"", 's', 'market', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Let's just say I know because a little bird told me.,['a little bird told me'],['a little bird told me'],True,1,"In the aviary, surrounded by intelligent parrots known for mimicking conversations they overhear, my friend asked how I knew the owner was planning a surprise party, let's just say I know because a little bird told me.","['In', 'the', 'aviary', ',', 'surrounded', 'by', 'intelligent', 'parrots', 'known', 'for', 'mimicking', 'conversations', 'they', 'overhear', ',', 'my', 'friend', 'asked', 'how', 'I', 'knew', 'the', 'owner', 'was', 'planning', 'a', 'surprise', 'party', ',', 'let', ""'"", 's', 'just', 'say', 'I', 'know', 'because', 'a', 'little', 'bird', 'told', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
Let's just say I know because a little bird told me.,['a little bird told me'],['a little bird told me'],True,2,"Inside the bio-acoustics lab where we were testing a new device that translated avian chirps into coherent phrases, my partner asked how I discovered the secret funding data, let's just say I know because a little bird told me.","['Inside', 'the', 'bio', '-', 'acoustics', 'lab', 'where', 'we', 'were', 'testing', 'a', 'new', 'device', 'that', 'translated', 'avian', 'chirps', 'into', 'coherent', 'phrases', ',', 'my', 'partner', 'asked', 'how', 'I', 'discovered', 'the', 'secret', 'funding', 'data', ',', 'let', ""'"", 's', 'just', 'say', 'I', 'know', 'because', 'a', 'little', 'bird', 'told', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
Let's just say I know because a little bird told me.,['a little bird told me'],['a little bird told me'],True,3,"When my daughter asked with wide eyes how I found out she'd hidden her broccoli under the sofa cushion, I glanced meaningfully at her pet parakeet chattering in its cage, let's just say I know because a little bird told me.","['When', 'my', 'daughter', 'asked', 'with', 'wide', 'eyes', 'how', 'I', 'found', 'out', 'she', ""'"", 'd', 'hidden', 'her', 'broccoli', 'under', 'the', 'sofa', 'cushion', ',', 'I', 'glanced', 'meaningfully', 'at', 'her', 'pet', 'parakeet', 'chattering', 'in', 'its', 'cage', ',', 'let', ""'"", 's', 'just', 'say', 'I', 'know', 'because', 'a', 'little', 'bird', 'told', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
Let's just say I know because a little bird told me.,['a little bird told me'],['a little bird told me'],True,4,"As we debriefed the covert operation, my handler questioned the source of my intel on the rival agency, especially since our main informant, codenamed 'The Finch,' had gone silent, let's just say I know because a little bird told me.","['As', 'we', 'debriefed', 'the', 'covert', 'operation', ',', 'my', 'handler', 'questioned', 'the', 'source', 'of', 'my', 'intel', 'on', 'the', 'rival', 'agency', ',', 'especially', 'since', 'our', 'main', 'informant', ',', 'codenamed', ""'"", 'The', 'Finch', ',', ""'"", 'had', 'gone', 'silent', ',', 'let', ""'"", 's', 'just', 'say', 'I', 'know', 'because', 'a', 'little', 'bird', 'told', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
Let's just say I know because a little bird told me.,['a little bird told me'],['a little bird told me'],True,5,"My coworker looked shocked when I revealed the upcoming merger details and demanded to know my source, so as I fiddled with the small porcelain wren on my desk that secretly housed a listening device, let's just say I know because a little bird told me.","['My', 'coworker', 'looked', 'shocked', 'when', 'I', 'revealed', 'the', 'upcoming', 'merger', 'details', 'and', 'demanded', 'to', 'know', 'my', 'source', ',', 'so', 'as', 'I', 'fiddled', 'with', 'the', 'small', 'porcelain', 'wren', 'on', 'my', 'desk', 'that', 'secretly', 'housed', 'a', 'listening', 'device', ',', 'let', ""'"", 's', 'just', 'say', 'I', 'know', 'because', 'a', 'little', 'bird', 'told', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
Let's just say I know because a little bird told me.,['a little bird told me'],['a little bird told me'],True,6,"After solving the escape room's final puzzle, my teammates asked how I knew the combination was hidden in the grandfather clock, so pointing to the antique, bird-shaped key that opened a secret panel, let's just say I know because a little bird told me.","['After', 'solving', 'the', 'escape', 'room', ""'"", 's', 'final', 'puzzle', ',', 'my', 'teammates', 'asked', 'how', 'I', 'knew', 'the', 'combination', 'was', 'hidden', 'in', 'the', 'grandfather', 'clock', ',', 'so', 'pointing', 'to', 'the', 'antique', ',', 'bird', '-', 'shaped', 'key', 'that', 'opened', 'a', 'secret', 'panel', ',', 'let', ""'"", 's', 'just', 'say', 'I', 'know', 'because', 'a', 'little', 'bird', 'told', 'me', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0]"
