sentence,PIEs,true_idioms,Valid,Comments
It's raining cats and dogs.,['raining  cats  and  dogs'],['raining  cats  and  dogs'],V,
"We didn't tell our friends that we were dating, but I think they put two and two together.",['put  two  and  two  together'],['put  two  and  two  together'],V,
Someone really needs to go put the kibosh on that noisy party.,['put  the  kibosh  on'],['put  the  kibosh  on'],V,
"Jay Branegan says each side will be preaching to the choir. ""Democrats will make the argument that's been successful with their base . . . [that] Republicans are merely helping the rich.""",['preaching  to  the  choir'],['preaching  to  the  choir'],V,
"I'm telling you, if you sign that paper, you're playing with fire.",['playing  with  fire'],['playing  with  fire'],V,
The test was a piece of cake!,['piece  of  cake'],['piece  of  cake'],V,
The fix I made was just a penny in the fusebox; we need to revisit it and fix the problem for real.,['penny  in  the  fusebox'],['penny  in  the  fusebox'],V,
"The three-day party had been a lot of fun, we did a lot of bad things, now it is time to pay the fiddler.",['pay  the  fiddler'],['pay  the  fiddler'],V,
Winemakers are over the moon to be able to showcase the individual nuances within their vineyards.,['over  the  moon'],['over  the  moon'],V,
"The patient is feeling a little better, but she's not out of the woods yet.",['out  of  the  woods'],['out  of  the  woods'],V,
"This software has to work out of the box, without any fancy installation.",['out  of  the  box'],['out  of  the  box'],V,
He started out with the rather obvious alternative of talking to Junior; Hesh’s scheme was more imaginative; and Tony’s idea of torching the restaurant really is out of the box.,['out  of  the  box'],['out  of  the  box'],V,
"After I hadn’t heard from her in six months, she called me out of the blue to meet for lunch.",['out  of  the  blue'],['out  of  the  blue'],V,
We go to the cinema once in a blue moon.,['once  in  a  blue  moon'],['once  in  a  blue  moon'],V,
She goes to work once in a blue moon.,['once  in  a  blue  moon'],['once  in  a  blue  moon'],V,
"Luckily, the members of the committee were on the same wavelength, so we didn't have endless discussions about what words meant.",['on  the  same  wavelength'],['on  the  same  wavelength'],V,
I want to make sure we're all on the same page with the game plan for the Acme account.,['on  the  same  page'],['on  the  same  page'],V,
Harold: How is Sarah? I don't want to jump her while she's on the rag.,['on  the  rag'],['on  the  rag'],V,
"Our marriage went through a difficult time, but now it is on the mend.",['on  the  mend'],['on  the  mend'],V,
"The new bond issue now appears to be on the bubble, with support eroding.",['on  the  bubble'],['on  the  bubble'],V,
If I had been more on the ball I would have asked when he called me.,['on  the  ball'],['on  the  ball'],V,
That project is on the back burner until we deal with higher priorities.,['on  the  back  burner'],['on  the  back  burner'],V,
That striker has scored four goals so far - he's on fire!,['on  fire'],['on  fire'],V,
"How silent, on the other hand, lie all Cotton-trades and such like; not a steeple-chimney yet got on end from sea to sea!",['on  end'],['on  end'],V,
Is that new teammate properly on board yet?,['on  board'],['on  board'],V,
"It’s a good idea, but let’s see if we can get a few more of the management team on board.",['on  board'],['on  board'],V,
"When the boss assigned the project to Tom, the rest of us were relieved to be off the hook.",['off  the  hook'],['off  the  hook'],V,
"Right off the bat, I can see that you need to see a doctor.",['off  the  bat'],['off  the  bat'],V,
The garage was filled with a random assortment of odds and ends.,['odds  and  ends'],['odds  and  ends'],V,
"Baby you gotta work hard, no pain no gain",['no  pain  no  gain'],['no  pain  no  gain'],V,
"Aerodynamics, my foot! The thing drives like a billboard.",['my  foot'],['my  foot'],V,
"In one of the rare cinematic depictions of an older woman as sexually attractive and active, Moreau also contributes to the end of Syl′s innocence by seducing him in the summer house. No mutton dressed as lamb could have done better!",['mutton  dressed  as  lamb'],['mutton  dressed  as  lamb'],V,
See if you can make head or tail of the last section in this chapter. I'm baffled.,['make  head  or  tail  of'],['make  head  or  tail  of'],V,
Let me see if I can light a fire under the waiter to get our order sooner.,['light  a  fire  under'],['light  a  fire  under'],V,
I let out the cat of the bag about my new girlfriend.,['let  out  the  cat  of  the  bag'],['let  out  the  cat  of  the  bag'],V,
Sam let out the cat of the bag about his new job.,['let  out  the  cat  of  the  bag'],['let  out  the  cat  of  the  bag'],V,
"Among the laundry list of inconveniences most of us can't abide: cold coffee, airport delays, the high price of gasoline.",['laundry  list'],['laundry  list'],V,
"By accepting both jobs, I killed two birds with one stone",['killed  two  birds  with  one  stone'],['killed  two  birds  with  one  stone'],V,
The old horse finally kicked the bucket.,['kicked  the  bucket'],['kicked  the  bucket'],V,
"Be like dad, keep mum.",['keep  mum'],['keep  mum'],V,
"You can ignore their problems, but you could be in the same boat someday.",['in  the  same  boat'],['in  the  same  boat'],V,
The figures are going to be in the red this year.,['in  the  red'],['in  the  red'],V,
"We have known wives to forget that they had husbands…, especially when they supposed that a tax bill or a notification to do military duty might be in the offing!",['in  the  offing'],['in  the  offing'],V,
He finished writing his paper and slid it under the door just in the nick of time.,['in  the  nick  of  time'],['in  the  nick  of  time'],V,
"I stayed in a lot of hotels in New York with the Dead and with Jerry's band, but the Navarro, more than any other, became our home away from home.",['home  away  from  home'],['home  away  from  home'],V,
That guy sure can hold a grudge when something goes wrong.,['hold  a  grudge'],['hold  a  grudge'],V,
The old computer just doesn't hold a candle to the latest models.,['hold  a  candle'],['hold  a  candle'],V,
He hit the nail on the head when he said the problem was the thermostat.,['hit  the  nail  on  the  head'],['hit  the  nail  on  the  head'],V,
"At first it seemed a good idea, but now it's getting close I'm having second thoughts.",['having  second  thoughts'],['having  second  thoughts'],V,
Hang a Ralph up at the next stoplight.,['Hang  a  Ralph'],['Hang  a  Ralph'],V,
Hang a Louie up at the next stoplight.,['Hang  a  Louie'],['Hang  a  Louie'],V,
It exists in a grey area between legal and illegal.,['grey  area'],['grey  area'],V,
I really got a kick out of that clown's juggling act.,['got  a  kick  out  of'],['got  a  kick  out  of'],V,
"If he doesn't win the next round, then his goose is cooked.",['goose  is  cooked'],['goose  is  cooked'],V,
They asked me if we can go dutch.,['go  dutch'],['go  dutch'],V,
"Women are “woefully” under-represented in parliament, the courts and the boardroom, with new research showing that the glass ceiling is still holding back 6,000 women from the top 33,000 jobs in Britain.",['glass  ceiling'],['glass  ceiling'],V,
I need to get a move on if I'm going to arrive before dark.,['get  a  move  on'],['get  a  move  on'],V,
His wisecracks always tickle my funny bone.,['funny  bone'],['funny  bone'],V,
There were so many errors in the program that the programmer decided to rewrite it from scratch.,['from  scratch'],['from  scratch'],V,
She said she wanted to build a new house from scratch.,['from  scratch'],['from  scratch'],V,
"As you're so tired, why not try to catch forty winks before you leave?",['forty  winks'],['forty  winks'],V,
"I was a burglary detective for three years before I joined the Speaker's Bureau, and you might say I managed to acquire a few things at a five-finger discount, if you catch my drift.",['five - finger  discount'],['five - finger  discount'],V,
He said he bought it at the markets but I think it fell off a truck.,['fell  off  a  truck'],['fell  off  a  truck'],V,
"Unfortunately, it fell between two stools: it was not good enough to be a competition car and those who wanted a roadburner preferred the Iso Grifo, which was better equipped.",['fell  between  two  stools'],['fell  between  two  stools'],V,
She could not bear to lose the land she had got by a swindle; and then she could not bear the loss of her lover. So she fell between two stools.,['fell  between  two  stools'],['fell  between  two  stools'],V,
Everybody and his cousin will be in line for opening night with free popcorn!,['Everybody  and  his  cousin'],['Everybody  and  his  cousin'],V,
It's even money that it will rain today.,['even  money'],['even  money'],V,
"He must apologise, he saw that clearly enough, must eat crow, as he told himself.",['eat  crow'],['eat  crow'],V,
I was beginning to wish I'd had the sense to spend the last hour in a pub. Dutch courage would have been better than no courage at all.,['Dutch  courage'],['Dutch  courage'],V,
"Another five minutes wait and we finally raise glasses in a toast to the evening. ‘So, what's the plan?’ ‘Well, we can go straight to the casino after this or we can get half a skinful of Dutch courage.’",['Dutch  courage'],['Dutch  courage'],V,
That road comes to a dead end at the lake.,['dead  end'],['dead  end'],V,
This insurance company is an expert at cutting red tape to process your claim faster.,['cutting  red  tape'],['cutting  red  tape'],V,
Give me the bigger hammer. This little one just doesn't cut the mustard.,['cut  the  mustard'],['cut  the  mustard'],V,
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",['crocodile  tears'],['crocodile  tears'],V,
This doesn't make any sense. It's like comparing apples to oranges.,['comparing  apples  to  oranges'],['comparing  apples  to  oranges'],V,
"It is difficult, but possible to quit smoking cold turkey.",['cold  turkey'],['cold  turkey'],V,
It'll be a cold day in hell when that happens.,['cold  day  in  hell'],['cold  day  in  hell'],V,
She finally came out of the closet to her religious family regarding her atheism.,['came  out  of  the  closet'],['came  out  of  the  closet'],V,
"We're very tired now, let's call it a day.",['call  it  a  day'],['call  it  a  day'],V,
Let's go home and call it a day.,['call  it  a  day'],['call  it  a  day'],V,
"She was determined to win the contract, by hook or by crook.",['by  hook  or  by  crook'],['by  hook  or  by  crook'],V,
"If Tony Blair is such an utterly busted flush of a leader, why are so many Tories and their outriders so keen to have this Prime Minister gone before he can fight another election?",['busted  flush'],['busted  flush'],V,
"Nature took its course, and Marie did give birth to a bundle of joy, but she soon discovered that motherhood was not all bliss.",['bundle  of  joy'],['bundle  of  joy'],V,
One of the kids on the school bus broke wind.,['broke  wind'],['broke  wind'],V,
You can breathe easy knowing that your savings account is insured against loss.,['breathe  easy'],['breathe  easy'],V,
This is a perfect way to break the ice and start the conversation.,['break  the  ice'],['break  the  ice'],V,
Including a few fun details in large group introductions can be a great way to break the ice.,['break  the  ice'],['break  the  ice'],V,
"Break a leg dad, I hope you'll win!",['Break  a  leg'],['Break  a  leg'],V,
George embarrassed his aunt by answering the door in his birthday suit.,['birthday  suit'],['birthday  suit'],V,
The very date which put them beyond the pale as belligerents was that which they seem to have chosen in order to prove what active and valiant soldiers they still remained.,['beyond  the  pale'],['beyond  the  pale'],V,
"Eventually he did it, better late than never!",['better  late  than  never'],['better  late  than  never'],V,
"His new car has all the bells and whistles, but it doesn't move through traffic jams any faster.",['bells  and  whistles'],['bells  and  whistles'],V,
"It's a straightforward job, but it's no bed of roses, with such long hours.",['bed  of  roses'],['bed  of  roses'],V,
Just stop beating around the bush and tell me what the problem is!,['beating  around  the  bush'],['beating  around  the  bush'],V,
"After having shown us three hours of instructional and safety videos, the inspector was simply beating a dead horse by telling us to buckle up as we got into the van.",['beating  a  dead  horse'],['beating  a  dead  horse'],V,
We went to a karaoke bar and had a barrel of laughs.,['barrel  of  laughs'],['barrel  of  laughs'],V,
Many are warning Spears that he is bad news and is trying to use her.,['bad  news'],['bad  news'],V,
"What's the matter with Fred? Oh, he's just having a bad hair day.",['bad  hair  day'],['bad  hair  day'],V,
"The government at home, and the people of the colonies, are getting to have bad blood between them.",['bad  blood'],['bad  blood'],V,
"Donald Rumsfeld had become a sex symbol. She observed that he was called a “virtual rock star” on CNN, a “babe magnet” on Fox, and “Rumstud” by the president.",['babe  magnet'],['babe  magnet'],V,
"""Orde, you're all right on the river,"" said Newmark, with a dry little laugh, ""but you're a babe in the woods at this game.""",['babe  in  the  woods'],['babe  in  the  woods'],V,
He was still a babe in arms when his father died overseas.,['babe  in  arms'],['babe  in  arms'],V,
We're expected to just do it at the drop of a hat.,['at  the  drop  of  a  hat'],['at  the  drop  of  a  hat'],V,
They worked around the clock to finish the project on time.,['around  the  clock'],['around  the  clock'],V,
I wouldn't trade you away for all the tea in China.,['all  the  tea  in  China'],['all  the  tea  in  China'],V,
"After a day's worth of events, it came down to one last match; this one was for all the marbles.",['all  the  marbles'],['all  the  marbles'],V,
He went to school to study math and science and all that jazz.,['all  that  jazz'],['all  that  jazz'],V,
He's all out the best preacher I've ever heard.,['all  out'],['all  out'],V,
"By going against the grain and going to work nude, you've made yourself a laughing stock.",['against  the  grain'],['against  the  grain'],V,
It went much against the grain with him,['against  the  grain'],['against  the  grain'],V,
"As if the hostile takeover weren't enough, to add insult to injury they scrapped ninety percent of our products and replaced them with their own.",['add  insult  to  injury'],['add  insult  to  injury'],V,
Let's just say I know because a little bird told me.,['a  little  bird  told  me'],['a  little  bird  told  me'],V,
People with your skills are a dime a dozen these days.,['a  dime  a  dozen'],['a  dime  a  dozen'],V,
Oh please go on the game. It's a steady job and you'd be working from home.,['on  the  game'],['on  the  game'],V,
