sentence,PIE,variant_sentence
This is a perfect way to break the ice and start the conversation.,['break the ice'],"The new recruits for the Antarctic research mission stood awkwardly by the frozen fjord, unsure how to begin their first team-building exercise which involved moving equipment across the water, so when the leader handed them a large mallet, he knew this is a perfect way to break the ice and start the conversation."
I thought you rang the bell.,['rang the bell'],"As we sorted through the old case files trying to remember the witness's name, a chime from the front door echoed through the office, and I looked at my partner and said ""I thought you rang the bell""."
Would you like a piece of cake.,['piece of cake'],"
After explaining the incredibly complex quantum physics problem to the advanced students, the professor turned to the new recruit who looked overwhelmed and asked 'Would you like a piece of cake'."
The test was a piece of cake!,['piece of cake'],"In the final stage of the culinary exam, where students had to identify the composition of a mystery dessert by taste alone, the last item presented was a simple slice of sponge, meaning the test was a piece of cake!"
Is soaking in hot water good for us?,['in hot water'],"At the corporate stress-management retreat held in a spa, where executives discussed the character-building aspects of facing professional crises, one manager turned to the facilitator and asked 'Is soaking in hot water good for us?'."
What can I bring you? Maybe bread and butter?,['bread and butter'],"Seeing the client's overwhelmed expression when faced with complex investment portfolios, the financial advisor decided to focus on the most basic, reliable income-generating assets, gesturing to a simplified chart and asking 'What can I bring you? Maybe bread and butter?'."
The submarine is getting into deep water.,['into deep water'],"As the sonar confirmed they had crossed the contested maritime boundary and foreign patrol boats began active pursuit, the captain knew the submarine is getting into deep water."
The fairy tale tells about a caste in the sky where a king and a queen live.,['caste in the sky'],"While listening to an audio tour of a medieval fortress, the narrator described its influence on folklore, noting that in one story, the towering architecture symbolized social stratification, then stated that the fairy tale tells about a caste in the sky where a king and a queen live."
I am feeling under the weather today.,['under the weather'],"My job as a storm chaser requires me to get as close as possible to the developing squall line, so when the meteorologist asked for a status update from my exposed position, I replied that I am feeling under the weather today."
"To add insult to the injury, the man went away without helping us.",['To add insult to the injury'],"In the personal injury lawsuit, the lawyer first detailed the physical harm his client suffered, then presented a recording of the defendant's taunting remarks made at the scene. To add insult to the injury, the man went away without helping us."
"Break a leg dad, I hope you'll win!",['Break a leg'],"Watching from the finish line of the icy, treacherous ski slope where several racers had already fallen, his son yelled up to the starting gate. Break a leg dad, I hope you'll win!"
"By accepting both jobs, I killed two birds with one stone",['killed two birds with one stone'],"The eccentric client wanted me to design a catapult for his medieval fair exhibit and also get rid of the two annoying pigeons nesting on it, so by accepting both jobs, I killed two birds with one stone."
"We're very tired now, let's call it a day.",['call it a day'],"With the gallery owner demanding a name for the catalogue, we have spent hours debating the title for our new sculpture about the passage of time, we're very tired now, let's call it a day."
Let's go home and call it a day.,['call it a day'],"The two sculptors had spent hours arguing over a title for their new piece representing the passage of time, so with the gallery about to close and no consensus in sight, one finally dropped his tools and suggested 'Let's go home and call it a day'."
"Baby you gotta work hard, no pain no gain",['no pain no gain'],"While coaching his client through the final, grueling set of muscle-building squats, the personal trainer noticed her grimace, encouraging her with the phrase Baby you gotta work hard, no pain no gain."
We go to the cinema once in a blue moon.,['once in a blue moon'],"As the amateur astronomy club members planned their social calendar around major celestial phenomena, noting the rare upcoming event on their charts, it became clear that we go to the cinema once in a blue moon."
She goes to work once in a blue moon.,['once in a blue moon'],"As an astrophysicist whose research is solely focused on the atmospheric scattering effects during the second full moon of a calendar month, she goes to work once in a blue moon."
"When pigs fly, he'll treat people with respect.",['When pigs fly'],"At the agricultural fair's new drone exhibition, where customized quadcopters shaped like farm animals buzzed overhead, the farmer sighed about his grumpy, tech-hating neighbor and noted that when pigs fly, he'll treat people with respect."
"When pigs fly, he'll take out the trash.",['When pigs fly'],"While debugging their new farming simulation, the lead programmer pointed to a known glitch where livestock would randomly float into the sky and then glared at his partner's overflowing wastebasket, commenting dryly that when pigs fly, he'll take out the trash."
I let the cat out of the bag about my new girlfriend.,['let the cat out of the bag'],"At the animal shelter, my parents were surprised to see me with Sarah, and just as I opened the carrier to show them our new pet, I let the cat out of the bag about my new girlfriend."
Sam let the cat out of the bag about his new job.,['let the cat out of the bag'],"At the chaotic animal rescue fundraiser, Sam was tasked with both transporting a feral kitten and keeping his recent promotion a secret from a rival colleague. After drinking some wine, Sam let the cat out of the bag about his new job.
"
Stop beating around the bush and tell me exactly what happened.,['beating around the bush'],"The head gardener watched his new apprentice nervously striking the ground near the prize-winning azalea with a rake, seemingly avoiding the damaged root system itself, so he finally yelled in exasperation for him 'Stop beating around the bush and tell me exactly what happened'."
Written tests are his Achilles' heel.,"[""Achilles ' heel""]","During rehearsals for the Trojan War play, the director noted that the actor's convincing portrayal was marred by a nagging tendon injury, and he also consistently struggled with the newly written monologue scrolls, written tests are his Achilles' heel."
"I think I don't need to tell you that, actions speak louder than words.",['actions speak louder than words'],"While observing the two competing street performers, one a soft-spoken poet and the other a mime whose stomping and slapping easily drowned out the recitation, I think I don't need to tell you that actions speak louder than words."
"Come on, you can do it, it's not rocket science!","[""it 's not rocket science""]","As the two engineering students reviewed the daunting curriculum for their desired aerospace specialization, one expressed deep anxiety about the advanced propulsion theory course, so their friend pointed to the prerequisite 'Introduction to Statics' syllabus and encouraged him by saying 'Come on, you can do it, it's not rocket science!'."
"Eventually he did it, better late than never!",['better late than never'],"The software engineer watched the automated test fail again with a `STATUS: NEVER_COMPLETED` error, but after rewriting a key function, the program finally ran to completion, flagging the result as valid but past the deadline, so he thought, eventually he did it, better late than never!"
This doesn't make any sense. It's like comparing apples to oranges.,['comparing apples to oranges'],"The agricultural scientist stared at the baffling genetic sequencing data from the fruit hybridization project, which suggested the two cultivars shared a bizarrely high number of active genes, so of course this doesn't make any sense. It's like comparing apples to oranges.
"
It's raining cats and dogs.,['raining cats and dogs'],"At the chaotic parade, the animal-themed float directly ahead of us malfunctioned, launching stuffed toys everywhere just as a massive cloudburst opened up, and now it feels like it's raining cats and dogs with all the stuffed toys and heavy rain."
They asked me if we can go dutch.,['go dutch'],"We were finalizing our European tour itinerary, discussing travel budgets, when they asked me if we can go dutch."
The old computer just doesn't hold a candle to the latest models.,['hold a candle'],"I wanted to make everything romantic, so I got candles and placed some on my desk. It reminded me that the old computer just doesn't hold a candle to the latest models.
"
That guy sure can hold a grudge when something goes wrong.,['hold a grudge'],"After a difficult mission in the fantasy role-playing game, we've noticed that guy sure can hold a grudge when something goes wrong."
Let me see if I can light a fire under the waiter to get our order sooner.,['light a fire under'],"Frustrated by the slow service, my impatient friend muttered, let me see if I can light a fire under the waiter to get our order sooner."
I need to get a move on if I'm going to arrive before dark.,['get a move on'],"As the sun began to set over our outdoor tournament, my opponent was taking forever, so I gestured impatiently and said, I need to get a move on if I'm going to arrive before dark."
The old horse finally kicked the bucket.,['kicked the bucket'],"At the farm, after a long illness and much concern from the stable hands, the old horse finally kicked the bucket."
Every year he resolves to turn over a new leaf and start exercising.,['turn over a new leaf'],"Concerned about his health and seeking self-improvement, he declared, Every year he resolves to turn over a new leaf and start exercising."
"Women are “woefully” under-represented in parliament, the courts and the boardroom, with new research showing that the glass ceiling is still holding back 6,000 women from the top 33,000 jobs in Britain.",['glass ceiling'],"During a presentation on corporate diversity, the HR report stated that women are “woefully” under-represented in parliament, the courts and the boardroom, with new research showing that the glass ceiling is still holding back 6,000 women from the top 33,000 jobs in Britain."
"The new bond issue now appears to be on the bubble, with support eroding.",['on the bubble'],"During a volatile financial period, the new bond issue now appears to be on the bubble, with support eroding."
Hang a Louie up at the next stoplight.,['Hang a Louie'],"The film director, trying to coordinate the stunt driver, shouted into his megaphone, 'We need the car to turn left onto Elm, so hang a Louie up at the next stoplight!'"
Hang a Ralph up at the next stoplight.,['Hang a Ralph'],"The two art students struggled with their class project, so the driver, tired of the distraction, told his friend, hang a Ralph up at the next stoplight."
There were so many errors in the program that the programmer decided to rewrite it from scratch.,['from scratch'],"Due to fundamental flaws in the diagnostic tool's algorithm, there were so many errors in the program that the programmer decided to rewrite it from scratch."
She said she wanted to build a new house from scratch.,['from scratch'],"After the demolition crew finished, the lot was a wasteland of raw earth, so when surveying the site, she said she wanted to build a new house from scratch."
She finally came out of the closet to her religious family regarding her atheism.,['came out of the closet'],"During a moment of profound personal reflection at the chaotic family reunion, she finally came out of the closet to her religious family regarding her atheism."
"I stayed in a lot of hotels in New York with the Dead and with Jerry's band, but the Navarro, more than any other, became our home away from home.",['home away from home'],"Recalling my extensive touring experiences, I realized: I stayed in a lot of hotels in New York with the Dead and with Jerry's band, but the Navarro, more than any other, became our home away from home."
"Nature took its course, and Marie did give birth to a bundle of joy, but she soon discovered that motherhood was not all bliss.",['bundle of joy'],"After a long and anticipated wait, Nature took its course, and Marie did give birth to a bundle of joy, but she soon discovered that motherhood was not all bliss."
Stars of the stage and the silver screen gathered for the awards ceremony.,['silver screen'],"At the annual entertainment awards, stars of the stage and the silver screen gathered for the awards ceremony."
Many are warning Spears that he is bad news and is trying to use her.,['bad news'],"His reputation preceded him, and many are warning Spears that he is bad news and is trying to use her."
The figures are going to be in the red this year.,['in the red'],"The graphic design team, tasked with visualizing the company's annual report, chose a bold crimson color scheme to represent all data, so everyone in the finance department already knows the figures are going to be in the red this year."
I was beginning to wish I'd had the sense to spend the last hour in a pub. Dutch courage would have been better than no courage at all.,['Dutch courage'],"As my famously stoic colleague from Amsterdam walked out of the tense negotiation leaving me to face the board alone, I was beginning to wish I'd had the sense to spend the last hour in a pub. Dutch courage would have been better than no courage at all."
"Another five minutes wait and we finally raise glasses in a toast to the evening. ‘So, what's the plan?’ ‘Well, we can go straight to the casino after this or we can get half a skinful of Dutch courage.’",['Dutch courage'],"The bar was famous for its signature imported jenever, which the menu cheekily listed as 'The Original Dutch Courage,' so we sat down to contemplate our next move. Another five minutes wait and we finally raise glasses in a toast to the evening. ‘So, what's the plan?’ ‘Well, we can go straight to the casino after this or we can get half a skinful of Dutch courage.’"
"By going against the grain and going to work nude, you've made yourself a laughing stock.",['against the grain'],"At the experimental carpentry workshop that doubled as a performance art space, the instructor looked at the poorly sanded plank and the artist's bizarre costume choice, sighing that by going against the grain and going to work nude, you've made yourself a laughing stock."
It went much against the grain with him,['against the grain'],"As the master carpenter watched his apprentice sand the oak plank with a rough, cross-hatched motion that tore the fibers, it went much against the grain with him."
"Donald Rumsfeld had become a sex symbol. She observed that he was called a “virtual rock star” on CNN, a “babe magnet” on Fox, and “Rumstud” by the president.",['babe magnet'],"At the agricultural tech expo, while demonstrating a new electromagnetic device designed to gently attract and sort newborn chicks for vaccination, the team overheard a political documentary playing on a nearby screen. The commentator, a woman, then stated that Donald Rumsfeld had become a sex symbol. she observed that he was called a “virtual rock star” on CNN, a “babe magnet” on Fox, and “Rumstud” by the president."
I'm tired of being your second fiddle!,['second fiddle'],"After the conductor once again praised the concertmaster's solo while ignoring her own section's flawless performance, the principal violinist turned to her partner and sighed 'I'm tired of being your second fiddle!'"
"The three-day party had been a lot of fun, we did a lot of bad things, now it is time to pay the fiddler.",['pay the fiddler'],"At the end of the chaotic Renaissance faire we organized, where the contracted violinist had played for 72 hours straight while we racked up damages to the venue, the three-day party had been a lot of fun, we did a lot of bad things, now it is time to pay the fiddler."
He finished writing his paper and slid it under the door just in the nick of time.,['in the nick of time'],"His professor, an avid gamer, had a quirky submission policy: all papers had to be delivered to his office before he reached the final checkpoint in his daily speedrun, a tavern famously known as 'The Nick of Time', so hearing the victory music from the next room, he finished writing his paper and slid it under the door just in the nick of time."
The fix I made was just a penny in the fusebox; we need to revisit it and fix the problem for real.,['penny in the fusebox'],"While inspecting the chaotic wiring in the old house where the owner's child had been playing with a coin collection, I realized that the fix I made was just a penny in the fusebox; we need to revisit it and fix the problem for real."
That striker has scored four goals so far - he's on fire!,['on fire'],"While reviewing footage from the sports-themed action movie where a stuntman was accidentally ignited by a pyrotechnic effect during a goal scene, the director, focusing on the game, commented to the editor, that striker has scored four goals so far - he's on fire!"
Oh please go on the game. It's a steady job and you'd be working from home.,['on the game'],"The social worker reviewed the young woman's file, which detailed a history of surviving on the streets, then looked at a new recruitment offer from a professional e-sports league, and said with relief, oh please go on the game. It's a steady job and you'd be working from home."
"Among these odd folk, who correspond exactly to the decadent element of “white trash” in the South, law and morals are non-existent; and their general mental status is probably below that of any other section of the native American people.",['white trash'],"While reviewing a controversial art installation made entirely of discarded white plastics and styrofoam, the critic observed the community it depicted and wrote, among these odd folk, who correspond exactly to the decadent element of “white trash” in the South, law and morals are non-existent; and their general mental status is probably below that of any other section of the native American people."
It'll be a cold day in hell when that happens.,['cold day in hell'],"While reviewing a highly improbable weather model that predicted a freak snowstorm in the town of Hell, Michigan, the lead meteorologist laughed and told his junior analyst, it'll be a cold day in hell when that happens."
"This software has to work out of the box, without any fancy installation.",['out of the box'],"The lead robotics engineer pointed to the new automated packer still sitting in its shipping crate and said, for this assembly line to be efficient, this software has to work out of the box, without any fancy installation."
He started out with the rather obvious alternative of talking to Junior; Hesh’s scheme was more imaginative; and Tony’s idea of torching the restaurant really is out of the box.,['out of the box'],"In the evidence lock-up, surrounded by shipping containers and debating how to dispose of an incriminating delivery, they considered their options: he started out with the rather obvious alternative of talking to Junior; Hesh’s scheme was more imaginative; and Tony’s idea of torching the restaurant really is out of the box."
"He attended the meeting to ride shotgun for the sales team, in case anyone had a technical question.",['ride shotgun'],"Since the client's office was in a remote location requiring a long drive, and the team planned to use the travel time for a pre-meeting, he attended the meeting to ride shotgun for the sales team, in case anyone had a technical question."
"""Orde, you're all right on the river,"" said Newmark, with a dry little laugh, ""but you're a babe in the woods at this game.""",['babe in the woods'],"While reviewing the day's disastrous film shoot, where the actor had masterfully navigated a canoe but seemed utterly lost when interacting with an infant co-star in the forest set, the director remarked, ""Orde, you're all right on the river,"" said Newmark, with a dry little laugh, ""but you're a babe in the woods at this game."""
It exists in a grey area between legal and illegal.,['grey area'],"While reviewing the city's color-coded zoning map, the developer pointed to a large, undefined patch shaded in a neutral tone and explained the new dispensary's precarious status, noting that it exists in a grey area between legal and illegal."
"Unfortunately, it fell between two stools: it was not good enough to be a competition car and those who wanted a roadburner preferred the Iso Grifo, which was better equipped.",['fell between two stools'],"During the disastrous design presentation, the clay model of the new sports car was precariously balanced on a makeshift display stand; unfortunately, it fell between two stools: it was not good enough to be a competition car and those who wanted a roadburner preferred the Iso Grifo, which was better equipped."
She could not bear to lose the land she had got by a swindle; and then she could not bear the loss of her lover. So she fell between two stools.,['fell between two stools'],"In her cluttered antique furniture restoration shop, she was anxiously trying to process the chaos of her personal life, knowing she could not bear to lose the land she had got by a swindle; and then she could not bear the loss of her lover. So she fell between two stools."
He was still a babe in arms when his father died overseas.,['babe in arms'],"Discussing the new platoon leader's lack of field experience and idealistic worldview, the grizzled sergeant remarked to his corporal that he was still a babe in arms when his father died overseas."
Fred is having a rough trot.,['rough trot'],"At the equine therapy center, the instructor noted the horse’s jarring gait while the therapist listened to Fred describe his recent financial hardships; clearly, Fred is having a rough trot."
He's all out the best preacher I've ever heard.,['all out'],"As the congregation filed out of the packed cathedral, leaving the pews nearly empty, one usher turned to another with a look of admiration and said, ""He's all out the best preacher I've ever heard."""
I want to make sure we're all on the same page with the game plan for the Acme account.,['on the same page'],"During the chaotic video conference where some members were referencing outdated printouts while others scrolled through the live digital document, the manager interjected, ""I want to make sure we're all on the same page with the game plan for the Acme account."""
That new car was really the cat's pyjamas.,"[""cat 's pyjamas""]","At the surrealist art car parade, one vehicle was decorated entirely in miniature, silk, feline-themed sleepwear, so compared to all the other outlandish designs, that new car was really the cat's pyjamas."
Doing volunteer work to help others is truly worth one's while.,"[""worth one 's while""]","After calculating the substantial tax deductions and government grants available for community service, the financial planner explained to his client that doing volunteer work to help others is truly worth one's while."
The garage was filled with a random assortment of odds and ends.,['odds and ends'],"After the old bookmaker retired, his family had to clear out his workspace, which contained stacks of old betting slips and torn ticket stubs, so the garage was filled with a random assortment of odds and ends."
Public opinion has undergone a sea change since the 2002 elections.,['sea change'],"At the conference on maritime law and coastal state politics, the keynote speaker discussed how new ocean current models were affecting international policy and then turned to domestic issues, noting that public opinion has undergone a sea change since the 2002 elections."
He said he bought it at the markets but I think it fell off a truck.,['fell off a truck'],"As the two highway maintenance workers inspected a brand new generator with a few scratches on its casing, one remarked on the other's lucky find, and heard in response, ""He said he bought it at the markets but I think it fell off a truck."""
This insurance company is an expert at cutting red tape to process your claim faster.,['cutting red tape'],"In their latest advertising campaign, which features adjusters performing dramatic feats like slicing through giant spools of crimson ribbon with swords, the message is clear that this insurance company is an expert at cutting red tape to process your claim faster."
One of the kids on the school bus broke wind.,['broke wind'],"During the unusually strong gale, a powerful gust shattered a window pane, and in the ensuing commotion, one of the kids on the school bus broke wind."
"He must apologise, he saw that clearly enough, must eat crow, as he told himself.",['eat crow'],"Having lost the outrageous bet where the forfeit involved both a public retraction of his boast and consuming the foul dish his friends had prepared, he must apologise, he saw that clearly enough, must eat crow, as he told himself."
It's even money that it will rain today.,['even money'],"The two bookies finished settling their accounts from the horse race, leaving two perfectly equal stacks of cash on the table for their next wager, when one looked out the window and said, ""It's even money that it will rain today."""
George embarrassed his aunt by answering the door in his birthday suit.,['birthday suit'],"His aunt had just arrived for his surprise 30th birthday gala, carrying the last-minute alterations for the custom tuxedo she had gifted him, so George embarrassed his aunt by answering the door in his birthday suit."
See if you can make head or tail of the last section in this chapter. I'm baffled.,['make head or tail of'],"While trying to reassemble the fragmented fossil of a bizarre, segmented invertebrate, the paleontologists found that the guidebook's diagrams were completely inscrutable, so one finally pushed the book towards the other: 'see if you can make head or tail of the last section in this chapter. I'm baffled'."
Is that new teammate properly on board yet?,['on board'],"As the crew prepared to cast off for the company's annual team-building sailing trip, the manager did a final headcount and asked the HR representative 'is that new teammate properly on board yet?'"
"It’s a good idea, but let’s see if we can get a few more of the management team on board.",['on board'],"During the chaotic emergency evacuation drill, the safety coordinator proposed a new, faster procedure for clearing the building, which was met with some hesitation as people looked toward the waiting transport buses, so the fire marshal commented, ""It’s a good idea, but let’s see if we can get a few more of the management team on board."""
"We have known wives to forget that they had husbands…, especially when they supposed that a tax bill or a notification to do military duty might be in the offing!",['in the offing'],"From their observation post overlooking the coastal shipping lanes, the two retired naval officers discussed the convenient forgetfulness of the locals, saying 'we have known wives to forget that they had husbands, especially when they supposed that a tax bill or a notification to do military duty might be in the offing'."
"Smith is good at detail, but can't see the forest for the trees.",['see the forest for the trees'],"During the aerial survey of the national park, the new drone pilot kept the camera zoomed in so far to identify specific leaf patterns that he completely lost the overall flight path, leading the review to conclude that Smith is good at detail, but can't see the forest for the trees."
"If Tony Blair is such an utterly busted flush of a leader, why are so many Tories and their outriders so keen to have this Prime Minister gone before he can fight another election?",['busted flush'],"At their weekly high-stakes poker night, after one of the MPs threw down his losing hand in disgust, the conversation shifted from cards to politics, leading a journalist to ask 'If Tony Blair is such an utterly busted flush of a leader, why are so many Tories and their outriders so keen to have this Prime Minister gone before he can fight another election?'"
"In one of the rare cinematic depictions of an older woman as sexually attractive and active, Moreau also contributes to the end of Syl′s innocence by seducing him in the summer house. No mutton dressed as lamb could have done better!",['mutton dressed as lamb'],"At the 'Pastures on Film' festival awards dinner, where the main course for the culinary prize had just been judged, the jurors turned their attention to the Best Actress award. In one of the rare cinematic depictions of an older woman as sexually attractive and active, Moreau also contributes to the end of Syl′s innocence by seducing him in the summer house. No mutton dressed as lamb could have done better!"
"Luckily, the members of the committee were on the same wavelength, so we didn't have endless discussions about what words meant.",['on the same wavelength'],"In the neuro-linguistics lab, where researchers were analyzing the synchronized EEG scans of participants communicating non-verbally. Luckily, the members of the committee were on the same wavelength, so we didn't have endless discussions about what words meant."
"What's the matter with Fred? Oh, he's just having a bad hair day.",['bad hair day'],"At the high-fashion photoshoot, the stylist had tried three different elaborate looks, none of which satisfied the director, leaving the model looking increasingly flustered with his locks a complete mess, prompting the assistant to ask the director: ״What's the matter with Fred?״ ״Oh, he's just having a bad hair day״.
"
People with your skills are ten a penny these days.,['ten a penny'],"In the antique shop, the manager examined the applicant's meticulously crafted miniature figurines before gesturing towards a large barrel of common Victorian penny toys, stating 'People with your skills are ten a penny these days'."
People with your skills are a dime a dozen these days.,['a dime a dozen'],"At the antique toy fair, the vendor sorted through boxes of tiny, mass-produced artisan dolls while lecturing his apprentice on the current market, lamenting 'People with your skills are a dime a dozen these days'."
"Ouch, I just hit my funny bone.",['funny bone'],"While using a rickety skeleton prop for a new comedy routine about medical anxieties, the comedian gestured wildly and his elbow connected squarely with the plastic femur. 'Ouch, I just hit my funny bone'."
His wisecracks always tickle my funny bone.,['funny bone'],"My new physical therapist has a strange method of combining humor with treatment. While he's working on the nerve damage in my arm, his wisecracks always tickle my funny bone."
"There, on the ramparts of the forts, stood Nicholas Koorn, armed to the teeth, flourishing a brass-hilted sword.",['armed to the teeth'],"During the historical fair's theatrical finale, which featured a famous sword-swallowing act meant to depict the garrison's readiness for battle, there on the ramparts of the forts stood Nicholas Koorn, armed to the teeth, flourishing a brass-hilted sword."
"The battery lasts a day in my phone, but your mileage may vary.",['your mileage may vary'],"While comparing their new electric cars and the phone apps used to track performance, one friend noted how much the constant data syncing drains his device, explaining that the battery lasts a day in my phone, but your mileage may vary."
"I think that red dress looks really good on you, but your mileage may vary, of course.",['your mileage may vary'],"While arguing over the fine print in their new car's lease agreement, which included strict annual distance allowances, he looked up to see her modeling an outfit for their upcoming road trip and said 'I think that red dress looks really good on you, but your mileage may vary, of course'.
"
Just stop beating around the bush and tell me what the problem is!,['beating around the bush'],"The new gardener was meant to be clearing weeds, but instead he was just whacking the decorative shrubbery with a stick while vaguely alluding to an issue with the sprinklers, so the homeowner told him 'Just stop beating around the bush and tell me what the problem is!'"
"I'm telling you, if you sign that paper, you're playing with fire.",['playing with fire'],"The veteran fire-eater handed the apprentice a lengthy liability waiver for the performance and said grimly 'I'm telling you, if you sign that paper, you're playing with fire'."
"Finally we gave him the silent treatment, and for weeks before he died we neither spoke to him nor did he speak to us.",['silent treatment'],"The experimental protocol for his laryngeal condition was radical, involving complete vocal rest to see if the inflammation would subside, so finally we gave him the silent treatment, and for weeks before he died we neither spoke to him nor did he speak to us."
"Jay Branegan says each side will be preaching to the choir. ""Democrats will make the argument that's been successful with their base . . . [that] Republicans are merely helping the rich.""",['preaching to the choir'],"While observing a heated political debate held in the church sanctuary immediately before Sunday service, Jay Branegan says each side will be preaching to the choir. ""Democrats will make the argument that's been successful with their base . . . [that] Republicans are merely helping the rich."""
His face rings a bell. I wonder if I know him from somewhere.,['rings a bell'],"While touring the interactive art exhibit where proximity sensors in front of each sculpted portrait would trigger a unique chime, my friend paused at one and said 'His face rings a bell. I wonder if I know him from somewhere'."
"You know, cos he was like taking the piss out of them and they took the piss out of him.",['taking the piss'],"At the controversial modern art exhibit, which featured several large, sealed containers of animal urine, one artist kept secretly siphoning liquid from the others' installations, you know, cos he was like taking the piss out of them and they took the piss out of him."
He's either taking it easy or taking the piss by arriving at the eleventh hour.,['taking the piss'],"Watching the lazy urology intern finally saunter into the lab with the last crucial patient sample just before the clinical trial's hard 11:00 AM deadline, the supervisor muttered that he's either taking it easy or taking the piss by arriving at the eleventh hour."
