sentence,PIE,is_figurative,variant_number,Valid?,variant_sentence,tokens,tags,tag_ids,true_idioms
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",['in Ungnade gefallen'],TRUE,1,V,"Beim Studium der topografischen Medizingeschichte, die ein abgelegenes Sanatorium in einem Tal namens Ungnade erwähnte, in dem umstrittene Methoden angewandt wurden, die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.","['Beim', 'Studium', 'der', 'topografischen', 'Medizingeschichte', ',', 'die', 'ein', 'abgelegenes', 'Sanatorium', 'in', 'einem', 'Tal', 'namens', 'Ungnade', 'erwähnte', ',', 'in', 'dem', 'umstrittene', 'Methoden', 'angewandt', 'wurden', ',', 'die', 'Praxis', 'scheint', 'um', '1847', 'in', 'Ungnade', 'gefallen', 'zu', 'sein', ',', 'als', 'Dewees', 'vorschlug', ',', 'dass', 'eine', 'Krankenschwester', 'oder', 'ein', 'anderer', 'Fachmann', 'für', 'diese', 'Aufgabe', 'eher', 'geeignet', 'sei', 'als', 'ein', 'Tier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['in Ungnade gefallen']
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",['in Ungnade gefallen'],TRUE,2,V,"Der Bericht beschrieb nicht nur die ethischen Bedenken, sondern auch den physischen Zusammenbruch des speziell angefertigten Behandlungsstuhls, der ohne Anmut zu Boden krachte, weshalb die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.","['Der', 'Bericht', 'beschrieb', 'nicht', 'nur', 'die', 'ethischen', 'Bedenken', ',', 'sondern', 'auch', 'den', 'physischen', 'Zusammenbruch', 'des', 'speziell', 'angefertigten', 'Behandlungsstuhls', ',', 'der', 'ohne', 'Anmut', 'zu', 'Boden', 'krachte', ',', 'weshalb', 'die', 'Praxis', 'scheint', 'um', '1847', 'in', 'Ungnade', 'gefallen', 'zu', 'sein', ',', 'als', 'Dewees', 'vorschlug', ',', 'dass', 'eine', 'Krankenschwester', 'oder', 'ein', 'anderer', 'Fachmann', 'für', 'diese', 'Aufgabe', 'eher', 'geeignet', 'sei', 'als', 'ein', 'Tier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['in Ungnade gefallen']
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",['in Ungnade gefallen'],TRUE,3,V,"In der Chronik wurde ein Vorfall vermerkt, bei dem der prominenteste Verfechter der Methode bei einer Vorführung unglücklich von einer Bühne stürzte, was von Gegnern als schlechtes Omen interpretiert wurde, sodass die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.","['In', 'der', 'Chronik', 'wurde', 'ein', 'Vorfall', 'vermerkt', ',', 'bei', 'dem', 'der', 'prominenteste', 'Verfechter', 'der', 'Methode', 'bei', 'einer', 'Vorführung', 'unglücklich', 'von', 'einer', 'Bühne', 'stürzte', ',', 'was', 'von', 'Gegnern', 'als', 'schlechtes', 'Omen', 'interpretiert', 'wurde', ',', 'sodass', 'die', 'Praxis', 'scheint', 'um', '1847', 'in', 'Ungnade', 'gefallen', 'zu', 'sein', ',', 'als', 'Dewees', 'vorschlug', ',', 'dass', 'eine', 'Krankenschwester', 'oder', 'ein', 'anderer', 'Fachmann', 'für', 'diese', 'Aufgabe', 'eher', 'geeignet', 'sei', 'als', 'ein', 'Tier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['in Ungnade gefallen']
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",['in Ungnade gefallen'],TRUE,4,X,"Die Korrespondenz zwischen den Ärzten nutzte oft den Ausdruck 'der Fall nach Ungnade', um sowohl den tatsächlichen Umzug einer Klinik in einen weniger angesehenen Bezirk als auch den schwindenden Ruf der Methode zu beschreiben, und in diesem Doppelsinn die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.","['Die', 'Korrespondenz', 'zwischen', 'den', 'Ärzten', 'nutzte', 'oft', 'den', 'Ausdruck', ""'"", 'der', 'Fall', 'nach', 'Ungnade', ""'"", ',', 'um', 'sowohl', 'den', 'tatsächlichen', 'Umzug', 'einer', 'Klinik', 'in', 'einen', 'weniger', 'angesehenen', 'Bezirk', 'als', 'auch', 'den', 'schwindenden', 'Ruf', 'der', 'Methode', 'zu', 'beschreiben', ',', 'und', 'in', 'diesem', 'Doppelsinn', 'die', 'Praxis', 'scheint', 'um', '1847', 'in', 'Ungnade', 'gefallen', 'zu', 'sein', ',', 'als', 'Dewees', 'vorschlug', ',', 'dass', 'eine', 'Krankenschwester', 'oder', 'ein', 'anderer', 'Fachmann', 'für', 'diese', 'Aufgabe', 'eher', 'geeignet', 'sei', 'als', 'ein', 'Tier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['in Ungnade gefallen']
"Die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.",['in Ungnade gefallen'],TRUE,5,X,"In der Analyse eines allegorischen Theaterstücks über medizinischen Fortschritt, in dem eine Figur namens 'Alte Sitte' buchstäblich in eine Bühnenvertiefung mit der Aufschrift 'Ungnade' stürzt, die Praxis scheint um 1847 in Ungnade gefallen zu sein, als Dewees vorschlug, dass eine Krankenschwester oder ein anderer Fachmann für diese Aufgabe eher geeignet sei als ein Tier.","['In', 'der', 'Analyse', 'eines', 'allegorischen', 'Theaterstücks', 'über', 'medizinischen', 'Fortschritt', ',', 'in', 'dem', 'eine', 'Figur', 'namens', ""'"", 'Alte', 'Sitte', ""'"", 'buchstäblich', 'in', 'eine', 'Bühnenvertiefung', 'mit', 'der', 'Aufschrift', ""'"", 'Ungnade', ""'"", 'stürzt', ',', 'die', 'Praxis', 'scheint', 'um', '1847', 'in', 'Ungnade', 'gefallen', 'zu', 'sein', ',', 'als', 'Dewees', 'vorschlug', ',', 'dass', 'eine', 'Krankenschwester', 'oder', 'ein', 'anderer', 'Fachmann', 'für', 'diese', 'Aufgabe', 'eher', 'geeignet', 'sei', 'als', 'ein', 'Tier', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",['in Ungnade gefallen']
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",['von  der  Hand  in  den  Mund  lebten'],TRUE,1,V,"Bei der Versorgung der schwerverletzten Unfallopfer, die nicht mehr selbstständig essen konnten, waren alle überfordert, doch schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.","['Bei', 'der', 'Versorgung', 'der', 'schwerverletzten', 'Unfallopfer', ',', 'die', 'nicht', 'mehr', 'selbstständig', 'essen', 'konnten', ',', 'waren', 'alle', 'überfordert', ',', 'doch', 'schlechter', 'ging', 'es', 'da', 'den', 'Hilfskräften', ',', 'die', 'oft', 'nur', 'von', 'der', 'Hand', 'in', 'den', 'Mund', 'lebten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0]",['von der Hand in den Mund lebten']
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",['von  der  Hand  in  den  Mund  lebten'],TRUE,2,V,"In der Aufzuchtstation für verwaiste Tierjungen war die Fütterungszeit die größte Herausforderung des Tages, und besonders schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.","['In', 'der', 'Aufzuchtstation', 'für', 'verwaiste', 'Tierjungen', 'war', 'die', 'Fütterungszeit', 'die', 'größte', 'Herausforderung', 'des', 'Tages', ',', 'und', 'besonders', 'schlechter', 'ging', 'es', 'da', 'den', 'Hilfskräften', ',', 'die', 'oft', 'nur', 'von', 'der', 'Hand', 'in', 'den', 'Mund', 'lebten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0]",['von der Hand in den Mund lebten']
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",['von  der  Hand  in  den  Mund  lebten'],TRUE,3,V,"Während der Theaterprobe für das Stück über eine große Hungersnot mussten die Hauptdarsteller ihr Leid nur deklamieren, doch schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.","['Während', 'der', 'Theaterprobe', 'für', 'das', 'Stück', 'über', 'eine', 'große', 'Hungersnot', 'mussten', 'die', 'Hauptdarsteller', 'ihr', 'Leid', 'nur', 'deklamieren', ',', 'doch', 'schlechter', 'ging', 'es', 'da', 'den', 'Hilfskräften', ',', 'die', 'oft', 'nur', 'von', 'der', 'Hand', 'in', 'den', 'Mund', 'lebten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0]",['von der Hand in den Mund lebten']
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",['von  der  Hand  in  den  Mund  lebten'],TRUE,4,EXTRA,"Bei dem exklusiven Fingerfood-Wettbewerb, wo jedes Häppchen sofort verkostet werden musste, arbeiteten alle unter Hochdruck, aber schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.","['Bei', 'dem', 'exklusiven', 'Fingerfood', '-', 'Wettbewerb', ',', 'wo', 'jedes', 'Häppchen', 'sofort', 'verkostet', 'werden', 'musste', ',', 'arbeiteten', 'alle', 'unter', 'Hochdruck', ',', 'aber', 'schlechter', 'ging', 'es', 'da', 'den', 'Hilfskräften', ',', 'die', 'oft', 'nur', 'von', 'der', 'Hand', 'in', 'den', 'Mund', 'lebten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0]",['von der Hand in den Mund lebten']
"Schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.",['von  der  Hand  in  den  Mund  lebten'],TRUE,5,EXTRA,"Die ethnologische Studie dokumentierte ein Volk, das traditionell ohne Besteck aß, doch während die Forscher ihre Vorräte hatten, schlechter ging es da den Hilfskräften, die oft nur von der Hand in den Mund lebten.","['Die', 'ethnologische', 'Studie', 'dokumentierte', 'ein', 'Volk', ',', 'das', 'traditionell', 'ohne', 'Besteck', 'aß', ',', 'doch', 'während', 'die', 'Forscher', 'ihre', 'Vorräte', 'hatten', ',', 'schlechter', 'ging', 'es', 'da', 'den', 'Hilfskräften', ',', 'die', 'oft', 'nur', 'von', 'der', 'Hand', 'in', 'den', 'Mund', 'lebten', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0]",['von der Hand in den Mund lebten']
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,['außer Frage'],TRUE,1,V,"Auf dem Schaubild des Kunsthistorikers, wo ein großes Fragezeichen die ungeklärte Herkunft eines Konkurrenzwerks symbolisierte und gesicherte Fakten darum gruppiert wurden, die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.","['Auf', 'dem', 'Schaubild', 'des', 'Kunsthistorikers', ',', 'wo', 'ein', 'großes', 'Fragezeichen', 'die', 'ungeklärte', 'Herkunft', 'eines', 'Konkurrenzwerks', 'symbolisierte', 'und', 'gesicherte', 'Fakten', 'darum', 'gruppiert', 'wurden', ',', 'die', 'Verwurzelung', 'des', 'Meisters', 'des', 'Aachener', 'Altars', 'in', 'der', 'Kölner', 'Malerei', 'steht', 'außer', 'Frage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",['außer Frage']
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,['außer Frage'],TRUE,2,V,"Für die Prüfungsaufgabe, die eine detaillierte Analyse der internen Werkstattbeziehungen in Köln verlangte und alle anderen Aspekte explizit ausschloss, die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.","['Für', 'die', 'Prüfungsaufgabe', ',', 'die', 'eine', 'detaillierte', 'Analyse', 'der', 'internen', 'Werkstattbeziehungen', 'in', 'Köln', 'verlangte', 'und', 'alle', 'anderen', 'Aspekte', 'explizit', 'ausschloss', ',', 'die', 'Verwurzelung', 'des', 'Meisters', 'des', 'Aachener', 'Altars', 'in', 'der', 'Kölner', 'Malerei', 'steht', 'außer', 'Frage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",['außer Frage']
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,['außer Frage'],TRUE,3,V,"Nachdem die Moderatorin die Diskussion auf die ikonografische Deutung beschränkt hatte und Wortmeldungen erbat, die sich nur auf diesen Punkt bezogen, die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.","['Nachdem', 'die', 'Moderatorin', 'die', 'Diskussion', 'auf', 'die', 'ikonografische', 'Deutung', 'beschränkt', 'hatte', 'und', 'Wortmeldungen', 'erbat', ',', 'die', 'sich', 'nur', 'auf', 'diesen', 'Punkt', 'bezogen', ',', 'die', 'Verwurzelung', 'des', 'Meisters', 'des', 'Aachener', 'Altars', 'in', 'der', 'Kölner', 'Malerei', 'steht', 'außer', 'Frage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",['außer Frage']
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,['außer Frage'],TRUE,4,EXTRA,"Im Rahmen des Forschungsprojekts 'Die Gotische Frage', das sich ausschließlich mit der Architektur der Kathedralen befasste, die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.","['Im', 'Rahmen', 'des', 'Forschungsprojekts', ""'"", 'Die', 'Gotische', 'Frage', ""'"", ',', 'das', 'sich', 'ausschließlich', 'mit', 'der', 'Architektur', 'der', 'Kathedralen', 'befasste', ',', 'die', 'Verwurzelung', 'des', 'Meisters', 'des', 'Aachener', 'Altars', 'in', 'der', 'Kölner', 'Malerei', 'steht', 'außer', 'Frage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",['außer Frage']
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,['außer Frage'],TRUE,5,EXTRA,"Im Protokoll des Expertengremiums, in dem die zentrale Fragestellung die Materialanalyse des Werkes war, die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.","['Im', 'Protokoll', 'des', 'Expertengremiums', ',', 'in', 'dem', 'die', 'zentrale', 'Fragestellung', 'die', 'Materialanalyse', 'des', 'Werkes', 'war', ',', 'die', 'Verwurzelung', 'des', 'Meisters', 'des', 'Aachener', 'Altars', 'in', 'der', 'Kölner', 'Malerei', 'steht', 'außer', 'Frage', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",['außer Frage']
