variant_sentence,sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models,id10m_num_models_confused,id10m_total_models,id10m_confusion_rate,id10m_confused_models,real_confused_models,num_real_confusions
"Während des Food-Styling-Workshops, bei dem das Wurstarrangement für das Foto einfach nicht gelingen wollte und die Stimmung im Team sank, meinte die Kursleiterin aufmunternd zu einem im Team: ""sei nicht so’ne beleidigte Leberwurst!""",Sei nicht so’ne beleidigte Leberwurst!,['beleidigte Leberwurst'],0,9,0.0%,,0,9,0.0%,,,0
"In der Versuchsküche für vegane Fleischalternativen schmeckte die neueste Rezeptur auf Tofubasis seltsam säuerlich, und der Produktentwickler seufzte zu seiner schmollenden Kollegin: ""sei nicht so’ne beleidigte Leberwurst!""",Sei nicht so’ne beleidigte Leberwurst!,['beleidigte Leberwurst'],0,9,0.0%,,0,9,0.0%,,,0
"Er durchwühlte den Stapel mit Filmen, die sein Mitbewohner am Vortag aus der Videothek mitgebracht hatte, fand aber nichts Ansprechendes für den gemeinsamen Filmabend, denn DVDs sind von gestern. Du brauchst Blu-Ray.",DVDs sind von gestern. Du brauchst Blu-Ray.,['von gestern'],2,9,22.2%,"gpt-4o, gpt-4o-mini",1,9,11.1%,gpt-4o-mini,gpt-4o,1
"Nachdem der Postbote das Paket vom Vortag zugestellt hatte, öffnete sie es voller Vorfreude, doch ihr technisch versierter Freund schüttelte nur den Kopf über den Inhalt, denn DVDs sind von gestern. Du brauchst Blu-Ray.",DVDs sind von gestern. Du brauchst Blu-Ray.,['von gestern'],0,9,0.0%,,1,9,11.1%,gpt-4o-mini,,0
"Der Archivar erklärte dem neuen Praktikanten, wie die eingegangenen Filmspenden zu katalogisieren seien, wobei die frischeste Lieferung immer Priorität habe, weshalb die Blu-Rays zuerst drankamen. Als ein Kunde reinkam und fragte was er kaufen solle, sagte der Praktikant: ""DVDs sind von gestern. Du brauchst Blu-Ray.""",DVDs sind von gestern. Du brauchst Blu-Ray.,['von gestern'],1,9,11.1%,gpt-4o,1,9,11.1%,gpt-4o-mini,gpt-4o,1
"Als der Archivar versuchte, mir die Ereignisse des Vortages als brandneue Entdeckung zu präsentieren, winkte ich nur ab, denn ich hatte die Quellen bereits selbst studiert, ich bin doch nicht von gestern!",Ich bin doch nicht von gestern!,['von gestern'],0,9,0.0%,,0,9,0.0%,,,0
"Der Zollbeamte musterte meinen Pass und fragte misstrauisch, ob ich erst am Vortag eingereist sei und deshalb die neuen Bestimmungen nicht kennen könne, aber ich war bestens vorbereitet, ich bin doch nicht von gestern!",Ich bin doch nicht von gestern!,['von gestern'],0,9,0.0%,,0,9,0.0%,,,0
"In der Zeitreise-Akademie wurden alle nach ihrer Herkunftsepoche sortiert, und als der Professor mich fragte, ob meine Zeitlinie noch aktuell ist, lachte ich über seine simple Annahme und sagte aus Witz: ""ich bin doch nicht von gestern!""",Ich bin doch nicht von gestern!,['von gestern'],0,9,0.0%,,0,9,0.0%,,,0
"Am Tatort fanden die Ermittler deutliche Schleifspuren, und die Gerichtsmedizinerin vermutete, das Opfer sei an den Haaren gezerrt worden, was die Theorie des Hauptverdächtigen für den Kommissar zu einer an den Haaren herbeigezogene Behauptung machte.",eine an den Haaren herbeigezogene Behauptung,['an den Haaren herbeigezogene'],1,9,11.1%,qwen-2.5-72b-instruct,1,9,11.1%,llama-4-scout,qwen-2.5-72b-instruct,1
"Der Puppenmacher erklärte, wie er die Haarsträhnen durch den Vinylkopf zog, während er gleichzeitig die abenteuerliche Geschichte erzählte, die er sich zur Herkunft der Puppe ausgedacht hatte, was sein Lehrling nur als eine an den Haaren herbeigezogene Behauptung abtat.",eine an den Haaren herbeigezogene Behauptung,['an den Haaren herbeigezogene'],2,9,22.2%,"llama-4-scout, qwen-2.5-72b-instruct",1,9,11.1%,llama-4-scout,qwen-2.5-72b-instruct,1
"Im Seminar über mittelalterliche Rechtspraktiken wurde die Strafe diskutiert, bei der jemand an den Haaren zum Pranger geschleift wurde, woraufhin der Professor die populäre Theorie über deren häufige Anwendung als eine an den Haaren herbeigezogene Behauptung entlarvte.",eine an den Haaren herbeigezogene Behauptung,['an den Haaren herbeigezogene'],2,9,22.2%,"llama-4-scout, qwen-2.5-72b-instruct",1,9,11.1%,llama-4-scout,qwen-2.5-72b-instruct,1
"Beim heutigen Boxkampf ist mein Gegner unglaublich stark und die ersten Treffer haben gesessen, aber mein Trainer sagt, meine Ausdauer ist mein Vorteil, also keine Sorge. Mein Trainer sagte: ""auch wenn du das Geld nicht gewinnst, ich werde schon über die Runden kommen.""",Ich werde schon über die Runden kommen.,['über die Runden kommen'],0,9,0.0%,,0,9,0.0%,,,0
"Der Parcours-Designer hat dieses Jahr lauter kreisförmige Hindernisse aufgestellt, die extrem schwer zu überwinden sind, aber mit meiner neuen Technik, werde ich es schon irgendwie schaffen. genauso wie in meinem Arbeitsleben lautet das Motto:  ich werde schon über die Runden kommen.",Ich werde schon über die Runden kommen.,['über die Runden kommen'],0,9,0.0%,,0,9,0.0%,,,0
"Nachdem die Investoren abgesprungen sind, ist das Budget für die nächsten Verhandlungsphasen extrem knapp, doch ich bin zuversichtlich bezüglich meiner Argumente, um die nächste Runde der Verhandlungen zu gewinnen. Auch wenn ich das Geld nicht bekomme, ich werde schon über die Runden kommen.",Ich werde schon über die Runden kommen.,['über die Runden kommen'],0,9,0.0%,,0,9,0.0%,,,0
"Nachdem der Chefredakteur entschieden hatte, dass der Leitartikel thematisch besser in die morgige Ausgabe passt, habe ich ihm zugestimmt. doch plötzlich hat er seine Meinung von heute auf morgen geändert.",Er hat seine Meinung von heute auf morgen geändert.,['von heute auf morgen'],0,9,0.0%,,0,9,0.0%,,,0
"Der Anwalt prüfte das Dokument erneut und erkannte, dass das Gutachten erst mit dem nächsten Geschäftstag rechtskräftig werden sollte, weshalb er seine Meinung von heute auf morgen geändert hat.",Er hat seine Meinung von heute auf morgen geändert.,['von heute auf morgen'],0,9,0.0%,,0,9,0.0%,,,0
"Der Kurator hatte das Exponat zunächst in der Abteilung für tagesaktuelle Kunst platziert, doch nach einer kurzen Debatte über die  Relevanz strich er es raus. Er hat seine Meinung von heute auf morgen geändert.",Er hat seine Meinung von heute auf morgen geändert.,['von heute auf morgen'],0,9,0.0%,,0,9,0.0%,,,0
"Auf der Agrarmesse, wo Züchter sowohl über die neuen Richtlinien zur Haltung von Zuchtpferden als auch über Subventionen diskutierten, war der allgemeine Konsens, die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.",Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.,['an die Kandare nehmen'],0,9,0.0%,,0,9,0.0%,,,0
"Nachdem einige Staaten jahrelang wie ungestüme Pferde ihre eigenen fiskalischen Wege gingen, ist die neue Strategie aus Brüssel unverkennbar, denn die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.",Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.,['an die Kandare nehmen'],0,9,0.0%,,0,9,0.0%,,,0
"In der Welt des internationalen Pferdesports, wo strenge Zügelführung und Disziplin über den Sieg entscheiden, lässt sich eine Parallele zur Finanzpolitik ziehen, denn die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.",Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.,['an die Kandare nehmen'],0,9,0.0%,,0,9,0.0%,,,0
"Die Architekten hatten das maßstabsgetreue Modell unvorsichtigerweise sehr nah an der Tischkante platziert, und als der Hauptinvestor seine Bedenken äußerte, wurde allen klar, das ganze Projekt steht auf der Kippe.",Das ganze Projekt steht auf der Kippe.,['auf der Kippe'],0,9,0.0%,,0,9,0.0%,,,0
"Der Zirkusartist balancierte die riesige Requisite auf einer schmalen Wippe, und als diese bedrohlich zu schwanken begann, hielt das Publikum den Atem an, denn das ganze Projekt steht auf der Kippe.",Das ganze Projekt steht auf der Kippe.,['auf der Kippe'],0,9,0.0%,,0,9,0.0%,,,0
"Nach stundenlangen Manövern mit dem Schwertransporter direkt am Rande der alten Mülldeponie wurde dem Team klar, dass die Ladung instabil war und sie eventuell abbrechen müssen. Das ganze Projekt steht auf der Kippe.",Das ganze Projekt steht auf der Kippe.,['auf der Kippe'],0,9,0.0%,,0,9,0.0%,,,0
"Der Grafiker hatte stundenlang die schweren, meterhohen Lettern für das neue Firmenlogo im Foyer hin- und hergeschoben, schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.",Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,['vier Buchstaben'],1,9,11.1%,qwen-2.5-72b-instruct,0,9,0.0%,,qwen-2.5-72b-instruct,1
"Beim Finale der TV-Show musste der Kandidat nach einem Hindernislauf ein Lösungswort aus riesigen Schaumstoffbuchstaben bilden, schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.",Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,['vier Buchstaben'],3,9,33.3%,"gpt-4o-mini, o3-mini, qwen-2.5-72b-instruct",0,9,0.0%,,"gpt-4o-mini, o3-mini, qwen-2.5-72b-instruct",3
Der Archivar stapelte den ganzen Tag schwere Kisten mit Manuskripten mit vielen Buchstaben um und nur noch der Stapel mit seiner persönlichen Signatur war übrig. Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.,['vier Buchstaben'],0,9,0.0%,,0,9,0.0%,,,0
"Nachdem die Eltern stundenlang darüber gestritten hatten, welche Erbstücke ihm und welche ihr gehörten, und eine Liste für die Aufteilung machten, fanden sie sein Zimmer plötzlich komplett leer vor. Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","['mir nichts, dir nichts']",0,9,0.0%,,0,9,0.0%,,,0
"Die Eltern hatten eine komplizierte Wette darüber abgeschlossen, wer von ihnen bei seinem Auszug welche Möbelstücke bekommen würde, doch er nahm einfach gar nichts davon mit. Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","['mir nichts, dir nichts']",0,9,0.0%,,0,9,0.0%,,,0
"Während der hitzigen Diskussion darüber, wer von den Eltern ihm mehr Geld geliehen hatte und wer nichts, packte er unbemerkt seine Koffer. Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.","['mir nichts, dir nichts']",0,9,0.0%,,0,9,0.0%,,,0
"Der Notar hatte gerade klargestellt, dass aus dem kampfumstrittenen Nachlass weder an mich noch an dich ein Anteil gehen würde, und sofort danach: er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","['mir nichts, dir nichts']",0,9,0.0%,,1,9,11.1%,o3-mini,,0
"Der Betreuer erklärte die Regeln für die große Kissenschlacht, bei der es keine Gewinner geben, weder du noch ich, und niemandem etwas passieren sollte. Daraufhin: er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","['mir nichts, dir nichts']",1,9,11.1%,o3-mini,1,9,11.1%,o3-mini,,0
"In dem chaotischen Online-Rollenspiel war der Tauschhandel zwischen den Charakteren aufgrund eines Systemfehlers deaktiviert, sodass niemand etwas geben oder empfangen konnte, und trotzdem er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.","['mir nichts, dir nichts']",0,9,0.0%,,1,9,11.1%,o3-mini,,0
"Der Wind peitschte über das freie Feld, wo der General versuchte, seine widerständigen Truppen durch ein defektes Funkgerät neu zu formieren, während der Feind vorrückte. Der General dachte sich: meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.","Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.",['in den Wind gesprochen'],0,9,0.0%,,0,9,0.0%,,,0
"Der Regisseur stand auf dem windigen Hügel und sah zu, wie die Schauspieler ihre Texte vergaßen und die teuren Requisiten für den Historienfilm umstürzten. Er dachte sich nur : meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.","Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.",['in den Wind gesprochen'],0,9,0.0%,,0,9,0.0%,,,0
"Auf der Brücke des Segelschiffs kämpfte der Kapitän damit, sich gegen das Heulen des Orkans Gehör zu verschaffen, während die Mannschaft in Panik die falschen Segel einholte. Der Kapitän dachte hoffnungslos: meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.","Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.",['in den Wind gesprochen'],0,9,0.0%,,0,9,0.0%,,,0
"Der Kochlehrer erklärte geduldig die Zubereitung von gebratenem Zander, doch als ein Schüler beim letzten Schritt sichtlich zögerte, wurde der Lehrer ungeduldig, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?",Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?,['Butter bei die Fische'],0,9,0.0%,,0,9,0.0%,,,0
"In der hektischen Restaurantküche wartete ein Gast dringend auf seine Bestellung, also ging der Chefkoch zum nervösen Lehrling, der für das Gericht zuständig war, und sagte, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?",Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?,['Butter bei die Fische'],0,9,0.0%,,0,9,0.0%,,,0
"Am Lagerfeuer nach einem langen Angeltag stritten sie über das beste Rezept, während die Filets schon auf dem Grill brutzelten und jemand die geheime Zutat hinzufügte, woraufhin alle einen bestimmten Freund anstarrten, jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?",Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?,['Butter bei die Fische'],0,9,0.0%,,0,9,0.0%,,,0
"In der Endrunde des Kochwettbewerbs, wo die Zeit knapp wurde und das Team am entscheidenden Fischgericht arbeitete, rief der Chefkoch, Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!","Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!",['Butter bei die Fische'],0,9,0.0%,,0,9,0.0%,,,0
"Die Freunde saßen vor der Konsole und spielten das neue Angel- und Koch-Simulationsspiel, bei dem sie im letzten Level ein Festmahl zubereiten mussten. Als Witz sagte der erfahrenste Spieler, Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!","Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!",['Butter bei die Fische'],0,9,0.0%,,0,9,0.0%,,,0
"Während der Geschäftsverhandlung im Fischrestaurant, wo gleichzeitig der Vertragsabschluss und die Zubereitung des Hauptgangs für das Wettbewerbsspiel stockten, wurde der Investor ungeduldig, Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!","Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!",['Butter bei die Fische'],0,9,0.0%,,0,9,0.0%,,,0
"Beim Einrichten der neuen Wohnung überlegten sie, wo die große Deutschlandkarte hängen sollte, und während sie auf einen freien Platz in der Ecke zeigten, kam das Gespräch auf ihre letzte Reise. Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.","Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.",['die Ecke'],1,9,11.1%,o3-mini,3,9,33.3%,"gemini-2.5-flash-lite, gpt-4o-mini, o3-mini",,0
"Der Buchhändler sortierte gerade die Reiseführer neu und beschloss, alle Titel über Franken in der Ecke zu bündeln, als er einen Kunden nach seinen Urlaubsplänen fragte. Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.","Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.",['die Ecke'],2,9,22.2%,"gemini-2.5-flash-lite, o3-mini",3,9,33.3%,"gemini-2.5-flash-lite, gpt-4o-mini, o3-mini",,0
"Die Stadtplaner beugten sich über das große Modell des neuen Baugebiets in der Ecke und diskutierten über die Gestaltung des Parks, als das Thema auf eine kürzlich durchgeführte Exkursion in eine andere Region kam. Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.","Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.",['die Ecke'],2,9,22.2%,"gemini-2.5-flash-lite, o3-mini",3,9,33.3%,"gemini-2.5-flash-lite, gpt-4o-mini, o3-mini",,0
"Als Stimmtrainer, der die Grenzen der menschlichen Stimme für eine Metal-Band auslotete, musste ich die Aufnahme des Sängers immer wieder abspielen, um die Obertöne zu analysieren, ich hab mir dein Geschrei jetzt zur Genüge angehört.",Ich hab mir dein Geschrei jetzt zur Genüge angehört.,['zur Genüge'],3,9,33.3%,"gpt-4o-mini, o3-mini, qwen-2.5-72b-instruct",2,9,22.2%,"o3-mini, qwen-2.5-72b-instruct",gpt-4o-mini,1
"Der Regisseur war auf der Suche nach dem perfekten, herzzerreißenden Schrei für die Schlüsselszene und ließ den Schauspieler unzählige Takes wiederholen. Nach einem Versuch, der endlich die rohe Emotion traf, die er wollte, legte er sein Skript beiseite, ich hab mir dein Geschrei jetzt zur Genüge angehört.",Ich hab mir dein Geschrei jetzt zur Genüge angehört.,['zur Genüge'],2,9,22.2%,"o3-mini, qwen-2.5-72b-instruct",2,9,22.2%,"o3-mini, qwen-2.5-72b-instruct",,0
