sentence,PIEs,true_idioms,Valid,Comments
"Laut Harmon: „Ich glaube nicht, dass jemand eine dritte Staffel machen will, die einfach eine ganze Reihe von Episoden damit verbringt, sich mit einer Situation zu beschäftigen, die wir am Ende der zweiten Staffel geschaffen haben, also denke ich, das ist eine nicht-spoilerische Art zu sagen, dass die Dinge ziemlich schnell in Ordnung sein sollten“.",['in Ordnung sein'],['in Ordnung sein'],V,
Die Politiker kannste alle in einen Sack stecken und draufhauen – da triffste immer den Richtigen.,['in einen Sack stecken und draufhauen'],['in einen Sack stecken und draufhauen'],V,
"Zwischen den beiden Detekteien entwickelt sich eine Art Konkurrenzkampf, da sie sich trotz aller Freundschaft immer wieder gewollt oder ungewollt in die Quere kommen.",['in die Quere kommen'],['in die Quere kommen'],V,
"Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.",['in den Wind gesprochen'],['in den Wind gesprochen'],V,
"Der damalige Bundeskanzler hatte dem Unternehmen Bürgschaften und Darlehen in Höhe von 128 Millionen Euro zugesagt, nachdem es Milliarden in den Sand gesetzt hatte",['in den Sand gesetzt'],['in den Sand gesetzt'],V,
"Am Sonntag, dem 13. Mai 1470 wurden zuerst die Burg, dann die Stadt im Sturm genommen.",['im Sturm genommen'],['im Sturm genommen'],V,
Oder sollten sie gezielt K. im Auge behalten?,['im Auge behalten'],['im Auge behalten'],V,
"Während dieser Zeit arbeitete Blizzard jedoch hinter den Kulissen, um potentielle Teammitglieder zu engagieren, die sich zurückhalten wollten, um große, umfassende Ankündigungen anstelle von Informationen zu liefern.",['hinter den Kulissen'],['hinter den Kulissen'],V,
Behörden und die Schwulenbewegung arbeiteten erfolgreich Hand in Hand.,['Hand in Hand'],['Hand in Hand'],V,
Gegenseitiges Verstehen ist die halbe Miete! Zum Thema Verständigung mit deinem Welpen und somit auch mit deinem später erwachsenen Hund ist noch einiges zu sagen.,['halbe Miete'],['halbe Miete'],V,
Christian trauerte lange seiner großen Liebe nach.,['großen Liebe'],['großen Liebe'],V,
Glaubst du an die große Liebe?,['große Liebe'],['große Liebe'],V,
Die Musik ist meine große Liebe.,['große Liebe'],['große Liebe'],V,
"Daraufhin sagt Sarah, dass Jonathon ihre große Liebe sei.",['große Liebe'],['große Liebe'],V,
"Hier wird nun deutlich, dass Marek nicht tot ist, sondern mit den anderen gemeinsame Sache gemacht hat.",['gemeinsame Sache gemacht'],['gemeinsame Sache gemacht'],V,
"Eine unverwechselbare Position, bei der die CDU Flagge zeigen musste, war das Recht auf Leben. Hier galt es, eindeutig Stellung zu beziehen, ungeachtet dessen, wie die Entscheidung der Mehrheit in unserem Lande ausfiel.",['Flagge zeigen'],['Flagge zeigen'],V,
Ohne Beute mussten die Täter Fersengeld geben.,['Fersengeld geben'],['Fersengeld geben'],V,
"Die Niederlage unseres Konkurrenten muss uns erst recht anspornen, heute Abend Bestleistung zu bringen.",['erst recht'],['erst recht'],V,
"Wir wurden eingeschüchtert, damit wir den Streik absagen, aber jetzt streiken wir erst recht.",['erst recht'],['erst recht'],V,
Ania Fucz kam erst recht spät zum Kickboxen.,['erst recht'],['erst recht'],V,
Alle Verwaltungen der USA schienen gleichzeitig am Ende der Fahnenstange angelangt. Die Staaten kämpften mit Defiziten in Milliardenhöhe.,['Ende der Fahnenstange'],['Ende der Fahnenstange'],V,
Niemand verschwindet einfach so.,['einfach so'],['einfach so'],V,
"Dies zusammen mit seinen Lebenserfahrungen und Erziehung brachte Birney zu der Erkenntnis, dass die Sklaverei ein für alle Mal abgeschafft werden müsse.",['ein für alle Mal'],['ein für alle Mal'],V,
"In der Episode beginnt der „Mann in Schwarz“ (Terry O’Quinn) seinen Plan zur Zerstörung der Insel in die Tat umzusetzen, während Jack Shephard (Matthew Fox) versucht, ihn ein für alle Mal aufzuhalten.",['ein für alle Mal'],['ein für alle Mal'],V,
"Ich war völlig durch den Wind, als ich sie das erste Mal gesehen hab.",['durch den Wind'],['durch den Wind'],V,
"Lass mich erst mal überlegen, ich bin noch etwas durch den Wind.",['durch den Wind'],['durch den Wind'],V,
Dabei blieb er allerdings politisch eher ein Hinterbänkler und blieb stets ein Dorn im Auge der Ministerialbürokratie.,['Dorn im Auge'],['Dorn im Auge'],V,
"Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.",['die Ecke'],['die Ecke'],V,
"2002 erklärte sie, die palästinensischen Terroranschläge seien zwar nicht zu rechtfertigen, doch habe die israelische Politik ihnen „den Weg geebnet“.",['den Weg geebnet'],['den Weg geebnet'],V,
"Aber in der Sichtweise dieser Verfassung und vor den Augen des Gesetzes gibt es in diesem Land keine überlegene, dominierende, herrschende Klasse von Bürgern.",['den Augen des Gesetzes'],['den Augen des Gesetzes'],V,
"Zu dem Zeitpunkt erlaubten NZPO2 und ich, den Schnaps auszugeben, der den Absturz überstanden hatte, und wir feierten eine Party (makaber, aber wir mussten einfach Dampf ablassen).",['Dampf ablassen'],['Dampf ablassen'],V,
"Sandy und Rose sind die zwei Mädchen, für die Jean Brodie die meisten Hoffnungen hat, dass sie eines Tages zur crème de la crème gehören werden.",['crème de la crème'],['crème de la crème'],V,
Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?,['Butter bei die Fische'],['Butter bei die Fische'],V,
"Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!",['Butter bei die Fische'],['Butter bei die Fische'],V,
Wir haben gequatscht bis in die Puppen / Und vorher gingen wir sinnlos Shoppen,['bis in die Puppen'],['bis in die Puppen'],V,
Hör’ jetzt endlich auf die beleidigte Leberwurst zu spielen.,['beleidigte Leberwurst'],['beleidigte Leberwurst'],V,
Sei nicht so’ne beleidigte Leberwurst!,['beleidigte Leberwurst'],['beleidigte Leberwurst'],V,
"Da hat der Kanzlerkandidat Gerhard Schröder beim Barte des Propheten geschworen, die Renten nicht zu kürzen.",['beim Barte des Propheten'],['beim Barte des Propheten'],V,
"Das muss, beim Barte des Propheten, ganz wundervoll sein!",['beim Barte des Propheten'],['beim Barte des Propheten'],V,
"Doch wenn, beim Barte des Propheten, die eben noch dem Untergang geweihte Firma nach zwei Monaten am gleichen Ort unter anderem Namen neu ersteht wie Phönix aus dem Wüstensand und ihre ornamentreichen Knotenwunder jetzt zu noch unglaublicheren Hammerpreisen annonciert, dann kann auch der treueste Anhänger orientalischer Märchenerzähler ins Grübeln kommen.",['beim Barte des Propheten'],['beim Barte des Propheten'],V,
"Pollo und Monica holen den lebenden Feuerwehrmann heraus, der erklärt, dass einige Häftlinge versuchten, den Feuerwehrwagen zu übernehmen, weshalb er außer Kontrolle geriet.",['außer Kontrolle geriet'],['außer Kontrolle geriet'],V,
"Der Brand begann, als ein kleines Feuer im Palace Cafe auf der Südseite der Straße am Memorial Day etwa um 4 Uhr morgens außer Kontrolle geriet.",['außer Kontrolle geriet'],['außer Kontrolle geriet'],V,
Der Bahnhof war aber nicht nur von feindlichen Angriffen betroffen: Am 12.September 1944 beschädigte eine außer Kontrolle geratene und abstürzende V1 den Bahnhof.,['außer Kontrolle geratene'],['außer Kontrolle geratene'],V,
"Ein begleitender menschlicher Fahrer mit einem ""roten Knopf"" garantierte, dass das Fahrzeug nicht außer Kontrolle geraten und eine Gefahr für die Öffentlichkeit werden konnte.",['außer Kontrolle geraten'],['außer Kontrolle geraten'],V,
"Das Feuer war bis 21:00 Uhr (00:00 UTC 3. September) außer Kontrolle geraten, es gab große Flammen und gelegentliche Explosionen, und wurde von Feuerwehrleuten aus vier Sektoren bekämpft.",['außer Kontrolle geraten'],['außer Kontrolle geraten'],V,
Die Verwurzelung des Meisters des Aachener Altars in der Kölner Malerei steht außer Frage.,['außer Frage'],['außer Frage'],V,
"Exzellente Produktion- ein richtig fetter Sound; eine Menge Energie und exzellente Lieder, die man nicht mehr aus dem Kopf bekommt.",['aus dem Kopf'],['aus dem Kopf'],V,
"»Völlig ausgeschlossen, daß dieser Mann fünfundzwanzig Jahre nicht Schach gespielt haben soll! Er hat doch jeden Zug, jede Gegenpointe auf fünf, auf sechs Züge vorausberechnet. So etwas kann niemand aus dem Handgelenk. Das ist doch völlig ausgeschlossen – nicht wahr?«",['aus dem Handgelenk'],['aus dem Handgelenk'],V,
Wir haben sie am Tag vorher angerufen und da hat sie über Nacht ein Gedicht für Omas Geburtstag aus dem Ärmel geschüttelt.,['aus dem Ärmel geschüttelt'],['aus dem Ärmel geschüttelt'],V,
"Außerdem ist er einer der Unterstützer der Kampagne ""Justice for Andrew Jones"", die zum Ziel hat, die Mörder eines Jugendlichen vor Gericht zu bringen, der 2003 in Liverpool auf offener Straße zu Tode geprügelt wurde.",['auf offener Straße'],['auf offener Straße'],V,
"Im Mai 2006 prügelte er sich in Paris auf offener Straße mit zwei jüdischen Teenagern, von denen er einen mit Tränengas besprühte.",['auf offener Straße'],['auf offener Straße'],V,
"Eine Generation, die ein paar Dinge geändert hat, aber auch viele andere Arten von Veränderungen erfuhr, über die sie keine Kontrolle hatte, so dass einige von uns auf der Strecke bleiben mussten.",['auf der Strecke bleiben'],['auf der Strecke bleiben'],V,
Das ganze Projekt steht auf der Kippe.,['auf der Kippe'],['auf der Kippe'],V,
"Pass auf, dass du ihm nicht auf den Schlips trittst.",['auf den Schlips trittst'],['auf den Schlips trittst'],V,
"Im Drehbuch wissen wir, wer Mazer Rackham wirklich ist, und wir wissen auch, was auf dem Spiel steht, wenn Ender seine Spiele spielt.",['auf dem Spiel'],['auf dem Spiel'],V,
Der gute Ruf von Volkswagen stand in Afrika auf dem Spiel.,['auf dem Spiel'],['auf dem Spiel'],V,
"Aber auch andere Mütter haben schöne Töchter, die sich Honda, Toyota, Souza Cruz, Bandeirante, UOL, GM, Ford, Esso, Fiat, TIM und Pirelli nennen, um nur einige der nichtdeutschen ausländischen Firmen unter den 500 Größten aufzuführen.",['auch andere Mütter haben schöne Töchter'],['auch andere Mütter haben schöne Töchter'],V,
"Haste kein’n Arsch in der Hose, oder was?",['Arsch in der Hose'],['Arsch in der Hose'],V,
"Als die Beziehung ans Licht kommt, gibt es zunächst Probleme, die mit Christians Hilfe aber wieder beigelegt werden können.",['ans Licht kommt'],['ans Licht kommt'],V,
Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.,['an die Kandare nehmen'],['an die Kandare nehmen'],V,
"In dem Augenblick verschwand das Schloß, und sie saßen wieder in der alten Hütte. „Nun hast dus,“ sagte der Mann, „jetzt können wir wieder am Hungertuch nagen.“ „Ach,“ sprach die Frau, „ich will den Reichthum lieber nicht, wenn ich nicht weiß von wem er kommt, sonst habe ich doch keine Ruhe.“",['am Hungertuch nagen'],['am Hungertuch nagen'],V,
In jüngster Zeit werden ab und zu auch die Grünen eingeladen.,['ab und zu'],['ab und zu'],V,
Während seiner langen Jahre im Kongress brach er ab und zu mit seinen Südstaatenkollegen und folgte seinem eigenen Gewissen.,['ab und zu'],['ab und zu'],V,
"Die Mutter besucht ihre Tochter nur ab und zu, aber während einer dieser Gelegenheiten kommt ihr die Idee, ihre Tochter sei ein potenzielles Fotomodell.",['ab und zu'],['ab und zu'],V,
"Es folgten Jahre mit „normaler“ Instrumentierung, ab und zu unterstützt von Geige oder Saxophon.",['ab und zu'],['ab und zu'],V,
"Die Output-Signale hängen nicht nur von der Kombination der Inputs, sondern auch von der richtigen Reihenfolge der Inputs ab: Mit anderen Worten, das richtige password muss eingegeben werden.",['Mit  anderen  Worten'],['Mit  anderen  Worten'],V,
"Die Flagge zeigt drei horizontale Streifen in Gelb (für das Gold des Nordens), Schwarz (dafür, dass der Norden von der Regierung in Bangui aufgegeben wurde) und Grün (für die Fruchtbarkeit des Landes).",[Fruchtbarkeit des Landes],[],X,Ambiguous
