sentence,true_idioms,num_models_confused,total_models,confusion_rate,confused_models
Acme's new technology will raise the bar for the entire industry.,raise the bar,0,10,0.00%,
"Aerodynamics, my foot! The thing drives like a billboard.",my foot,0,10,0.00%,
"After I hadn’t heard from her in six months, she called me out of the blue to meet for lunch.",out of the blue,0,10,0.00%,
"After a day's worth of events, it came down to one last match; this one was for all the marbles.",all the marbles,0,10,0.00%,
"After having shown us three hours of instructional and safety videos, the inspector was simply beating a dead horse by telling us to buckle up as we got into the van.",beating a dead horse,0,10,0.00%,
"After meeting him, she was walking on air.",walking on air,0,10,0.00%,
"Among the laundry list of inconveniences most of us can't abide: cold coffee, airport delays, the high price of gasoline.",laundry list,0,10,0.00%,
"And in all her letters since, she had spoken of her aunt as a silly, vain, worldly woman, weeping crocodile tears, for an old husband whose death had released her from the tedium of his company.",crocodile tears,0,10,0.00%,
"Another five minutes wait and we finally raise glasses in a toast to the evening. ‘So, what's the plan?’ ‘Well, we can go straight to the casino after this or we can get half a skinful of Dutch courage.’",Dutch courage,0,10,0.00%,
"As if the hostile takeover weren't enough, to add insult to injury they scrapped ninety percent of our products and replaced them with their own.",add insult to injury,0,10,0.00%,
"As you're so tired, why not try to catch forty winks before you leave?",forty winks,0,10,0.00%,
"At first it seemed a good idea, but now it's getting close I'm having second thoughts.",having second thoughts,0,10,0.00%,
"Baby you gotta work hard, no pain no gain",no pain no gain,0,10,0.00%,
"Be like dad, keep mum.",keep mum,0,10,0.00%,
"Break a leg dad, I hope you'll win!",Break a leg,0,10,0.00%,
"By accepting both jobs, I killed two birds with one stone",killed two birds with one stone,0,10,0.00%,
"By going against the grain and going to work nude, you've made yourself a laughing stock.",against the grain,0,10,0.00%,
"Come on, spill the beans now, I wanna know!",spill the beans,0,10,0.00%,
"Come on, you can do it, it's not rocket science!",it's not rocket science,0,10,0.00%,
"Donald Rumsfeld had become a sex symbol. She observed that he was called a “virtual rock star” on CNN, a “babe magnet” on Fox, and “Rumstud” by the president.",babe magnet,0,10,0.00%,
"Eventually he did it, better late than never!",better late than never,0,10,0.00%,
Every year he resolves to turn over a new leaf and start exercising.,turn over a new leaf,0,10,0.00%,
Everybody and his cousin will be in line for opening night with free popcorn!,Everybody and his cousin,0,10,0.00%,
"Finally we gave him the silent treatment, and for weeks before he died we neither spoke to him nor did he speak to us.",silent treatment,0,10,0.00%,
"Folks in our neighborhood come from every walk of life, prince and pauper, investor and janitor.",walk of life,0,10,0.00%,
George embarrassed his aunt by answering the door in his birthday suit.,birthday suit,0,10,0.00%,
Give me the bigger hammer. This little one just doesn't cut the mustard.,cut the mustard,0,10,0.00%,
Hang a Louie up at the next stoplight.,Hang a Louie,0,10,0.00%,
Harold: How is Sarah? I don't want to jump her while she's on the rag.,on the rag,0,10,0.00%,
"He attended the meeting to ride shotgun for the sales team, in case anyone had a technical question.",ride shotgun,0,10,0.00%,
He finished writing his paper and slid it under the door just in the nick of time.,in the nick of time,0,10,0.00%,
He hit the nail on the head when he said the problem was the thermostat.,hit the nail on the head,0,10,0.00%,
"He must apologise, he saw that clearly enough, must eat crow, as he told himself.",eat crow,0,10,0.00%,
He said he bought it at the markets but I think it fell off a truck.,fell off a truck,0,10,0.00%,
He started out with the rather obvious alternative of talking to Junior; Hesh’s scheme was more imaginative; and Tony’s idea of torching the restaurant really is out of the box.,out of the box,0,10,0.00%,
"He told me who he saw, but it went in one ear and out the other.",went in one ear and out the other,0,10,0.00%,
"He was hilarious, and remained the top banana on the tour for years.",top banana,0,10,0.00%,
He went to school to study math and science and all that jazz.,all that jazz,0,10,0.00%,
He's either taking it easy or taking the piss by arriving at the eleventh hour.,taking the piss,0,10,0.00%,
"His new car has all the bells and whistles, but it doesn't move through traffic jams any faster.",bells and whistles,0,10,0.00%,
His wisecracks always tickle my funny bone.,funny bone,0,10,0.00%,
I am feeling under the weather today.,under the weather,0,10,0.00%,
I need to get a move on if I'm going to arrive before dark.,get a move on,0,10,0.00%,
I really got a kick out of that clown's juggling act.,got a kick out of,0,10,0.00%,
"I stayed in a lot of hotels in New York with the Dead and with Jerry's band, but the Navarro, more than any other, became our home away from home.",home away from home,0,10,0.00%,
"I think I can do it quickly, but the exact schedule is still up in the air.",up in the air,0,10,0.00%,
"I think that red dress looks really good on you, but your mileage may vary, of course.",your mileage may vary,0,10,0.00%,
I want to make sure we're all on the same page with the game plan for the Acme account.,on the same page,0,10,0.00%,
"I was a burglary detective for three years before I joined the Speaker's Bureau, and you might say I managed to acquire a few things at a five-finger discount, if you catch my drift.",five-finger discount,0,10,0.00%,
I was beginning to wish I'd had the sense to spend the last hour in a pub. Dutch courage would have been better than no courage at all.,Dutch courage,0,10,0.00%,
I wouldn't trade you away for all the tea in China.,all the tea in China,0,10,0.00%,
I'm about ready to turn into a pumpkin. You can stay up later if you want.,turn into a pumpkin,0,10,0.00%,
"I'm telling you, if you sign that paper, you're playing with fire.",playing with fire,0,10,0.00%,
I'm tired of being your second fiddle!,second fiddle,0,10,0.00%,
If I had been more on the ball I would have asked when he called me.,on the ball,0,10,0.00%,
"If Tony Blair is such an utterly busted flush of a leader, why are so many Tories and their outriders so keen to have this Prime Minister gone before he can fight another election?",busted flush,0,10,0.00%,
"If he doesn't win the next round, then his goose is cooked.",goose is cooked,0,10,0.00%,
"In one of the rare cinematic depictions of an older woman as sexually attractive and active, Moreau also contributes to the end of Syl′s innocence by seducing him in the summer house. No mutton dressed as lamb could have done better!",mutton dressed as lamb,0,10,0.00%,
Including a few fun details in large group introductions can be a great way to break the ice.,break the ice,0,10,0.00%,
Is that new teammate properly on board yet?,on board,0,10,0.00%,
It exists in a grey area between legal and illegal.,grey area,0,10,0.00%,
"It is difficult, but possible to quit smoking cold turkey.",cold turkey,0,10,0.00%,
It went much against the grain with him,against the grain,0,10,0.00%,
It'll be a cold day in hell when that happens.,cold day in hell,0,10,0.00%,
"It's a straightforward job, but it's no bed of roses, with such long hours.",bed of roses,0,10,0.00%,
It's even money that it will rain today.,even money,0,10,0.00%,
It's raining cats and dogs.,raining cats and dogs,0,10,0.00%,
"It’s a good idea, but let’s see if we can get a few more of the management team on board.",on board,0,10,0.00%,
"Jay Branegan says each side will be preaching to the choir. ""Democrats will make the argument that's been successful with their base . . . [that] Republicans are merely helping the rich.""",preaching to the choir,0,10,0.00%,
Just stop beating around the bush and tell me what the problem is!,beating around the bush,0,10,0.00%,
Let me see if I can light a fire under the waiter to get our order sooner.,light a fire under,0,10,0.00%,
Let's go home and call it a day.,call it a day,0,10,0.00%,
Let's just say I know because a little bird told me.,a little bird told me,0,10,0.00%,
"Luckily, the members of the committee were on the same wavelength, so we didn't have endless discussions about what words meant.",on the same wavelength,0,10,0.00%,
Many are warning Spears that he is bad news and is trying to use her.,bad news,0,10,0.00%,
"My daughter turns into a pumpkin at 10:00, so you need to have her home before then.",turns into a pumpkin,0,10,0.00%,
"Nature took its course, and Marie did give birth to a bundle of joy, but she soon discovered that motherhood was not all bliss.",bundle of joy,0,10,0.00%,
Only the top banana can make a decision of that magnitude.,top banana,0,10,0.00%,
"Our marriage went through a difficult time, but now it is on the mend.",on the mend,0,10,0.00%,
People with your skills are a dime a dozen these days.,a dime a dozen,0,10,0.00%,
People with your skills are ten a penny these days.,ten a penny,0,10,0.00%,
Public opinion has undergone a sea change since the 2002 elections.,sea change,0,10,0.00%,
"Right off the bat, I can see that you need to see a doctor.",off the bat,0,10,0.00%,
See if you can make head or tail of the last section in this chapter. I'm baffled.,make head or tail of,0,10,0.00%,
She could not bear to lose the land she had got by a swindle; and then she could not bear the loss of her lover. So she fell between two stools.,fell between two stools,0,10,0.00%,
She goes to work once in a blue moon.,once in a blue moon,0,10,0.00%,
She said she wanted to build a new house from scratch.,from scratch,0,10,0.00%,
"She was determined to win the contract, by hook or by crook.",by hook or by crook,0,10,0.00%,
She's a sharp cookie and will have no trouble seeing a sales pitch for what it is.,sharp cookie,0,10,0.00%,
"She's normally a quiet person, but she will talk a blue streak about fashion, if you let her.",talk a blue streak,0,10,0.00%,
"Smith is good at detail, but can't see the forest for the trees.",see the forest for the trees,0,10,0.00%,
Someone really needs to go put the kibosh on that noisy party.,put the kibosh on,0,10,0.00%,
That guy sure can hold a grudge when something goes wrong.,hold a grudge,0,10,0.00%,
That new car was really the cat's pyjamas.,cat's pyjamas,0,10,0.00%,
That project is on the back burner until we deal with higher priorities.,on the back burner,0,10,0.00%,
That striker has scored four goals so far - he's on fire!,on fire,0,10,0.00%,
The author's novels from her salad years lacked the sophistication and depth of her later works.,salad years,0,10,0.00%,
"The battery lasts a day in my phone, but your mileage may vary.",your mileage may vary,0,10,0.00%,
"The company had engineered plenty of products, but manufacturing them was virgin territory.",virgin territory,0,10,0.00%,
The figures are going to be in the red this year.,in the red,0,10,0.00%,
The fix I made was just a penny in the fusebox; we need to revisit it and fix the problem for real.,penny in the fusebox,0,10,0.00%,
The garage was filled with a random assortment of odds and ends.,odds and ends,0,10,0.00%,
"The government at home, and the people of the colonies, are getting to have bad blood between them.",bad blood,0,10,0.00%,
"The new bond issue now appears to be on the bubble, with support eroding.",on the bubble,0,10,0.00%,
The new chairman is happy to take a back seat when it comes to day-to-day operations.,take a back seat,0,10,0.00%,
The old computer just doesn't hold a candle to the latest models.,hold a candle,0,10,0.00%,
The old horse finally kicked the bucket.,kicked the bucket,0,10,0.00%,
"The patient is feeling a little better, but she's not out of the woods yet.",out of the woods,0,10,0.00%,
The police will turn a blind eye once.,turn a blind eye,0,10,0.00%,
The test was a piece of cake!,piece of cake,0,10,0.00%,
"The three-day party had been a lot of fun, we did a lot of bad things, now it is time to pay the fiddler.",pay the fiddler,0,10,0.00%,
The very date which put them beyond the pale as belligerents was that which they seem to have chosen in order to prove what active and valiant soldiers they still remained.,beyond the pale,0,10,0.00%,
"There is no free lunch, and in other words, no pain no gain.",no pain no gain,0,10,0.00%,
These latest modifications are mere window dressing; the same problems remain.,window dressing,0,10,0.00%,
They asked me if we can go dutch.,go dutch,0,10,0.00%,
They worked around the clock to finish the project on time.,around the clock,0,10,0.00%,
This doesn't make any sense. It's like comparing apples to oranges.,comparing apples to oranges,0,10,0.00%,
This insurance company is an expert at cutting red tape to process your claim faster.,cutting red tape,0,10,0.00%,
This is a perfect way to break the ice and start the conversation.,break the ice,0,10,0.00%,
"This software has to work out of the box, without any fancy installation.",out of the box,0,10,0.00%,
"Unfortunately, it fell between two stools: it was not good enough to be a competition car and those who wanted a roadburner preferred the Iso Grifo, which was better equipped.",fell between two stools,0,10,0.00%,
"We didn't tell our friends that we were dating, but I think they put two and two together.",put two and two together,0,10,0.00%,
We go to the cinema once in a blue moon.,once in a blue moon,0,10,0.00%,
"We have known wives to forget that they had husbands…, especially when they supposed that a tax bill or a notification to do military duty might be in the offing!",in the offing,0,10,0.00%,
We went to a karaoke bar and had a barrel of laughs.,barrel of laughs,0,10,0.00%,
We were just standing around shooting the breeze.,shooting the breeze,0,10,0.00%,
We're expected to just do it at the drop of a hat.,at the drop of a hat,0,10,0.00%,
"We're very tired now, let's call it a day.",call it a day,0,10,0.00%,
"What's the matter with Fred? Oh, he's just having a bad hair day.",bad hair day,0,10,0.00%,
"When pigs fly, he'll take out the trash.",When pigs fly,0,10,0.00%,
"When pigs fly, he'll treat people with respect.",When pigs fly,0,10,0.00%,
"When the boss assigned the project to Tom, the rest of us were relieved to be off the hook.",off the hook,0,10,0.00%,
Winemakers are over the moon to be able to showcase the individual nuances within their vineyards.,over the moon,0,10,0.00%,
"Women are “woefully” under-represented in parliament, the courts and the boardroom, with new research showing that the glass ceiling is still holding back 6,000 women from the top 33,000 jobs in Britain.",glass ceiling,0,10,0.00%,
Written tests are his Achilles' heel.,Achilles' heel,0,10,0.00%,
You can breathe easy knowing that your savings account is insured against loss.,breathe easy,0,10,0.00%,
"You can crank the engine until the cows come home, but it won’t start without fuel.",until the cows come home,0,10,0.00%,
"You can ignore their problems, but you could be in the same boat someday.",in the same boat,0,10,0.00%,
"You know, cos he was like taking the piss out of them and they took the piss out of him.",taking the piss,0,10,0.00%,
You're in a bad mood today. What's eating you?,What's eating you,0,10,0.00%,
