sentence	tokens	tags	tag_ids	true_idioms	language	predicted_idioms	ratios	hallucinated	predicted_tags
eine an den Haaren herbeigezogene Behauptung	['eine ', 'an ', 'den ', 'Haaren ', 'herbeigezogene ', 'Behauptung']	['O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 1, 2, 2, 2, 0]	['an den Haaren herbeigezogene']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O']
Ich werde schon über die Runden kommen.	['Ich ', 'werde ', 'schon ', 'über ', 'die ', 'Runden ', 'kommen', '.']	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 1, 2, 2, 2, 0]	['über die Runden kommen']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Er hat seine Meinung von heute auf morgen geändert.	['Er ', 'hat ', 'seine ', 'Meinung ', 'von ', 'heute ', 'auf ', 'morgen ', 'geändert', '.']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 1, 2, 2, 2, 0, 0]	['von heute auf morgen']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Die EU-Kommission will die Mitgliedsländer an die Kandare nehmen: Unsolides Wirtschaften wird bestraft.	['Die ', 'EU-Kommission ', 'will ', 'die ', 'Mitgliedsländer ', 'an ', 'die ', 'Kandare ', 'nehmen', ': ', 'Unsolides ', 'Wirtschaften ', 'wird ', 'bestraft', '.']	['O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]	['an die Kandare nehmen']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Das ganze Projekt steht auf der Kippe.	['Das ', 'ganze ', 'Projekt ', 'steht ', 'auf ', 'der ', 'Kippe', '.']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 1, 2, 2, 0]	['auf der Kippe']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Schließlich ließ er sich vollgeschwitzt außer Puste auf seine vier Buchstaben plotzen.	['Schließlich ', 'ließ ', 'er ', 'sich ', 'vollgeschwitzt ', 'außer ', 'Puste ', 'auf ', 'seine ', 'vier ', 'Buchstaben ', 'plotzen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]	['vier Buchstaben']	german	['sich auf seine vier buchstaben plotzen']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Jetzt haben sie ihren Sohn dreißig Jahre lang verwöhnt und kaum hat er eine Freundin, zieht er mir nichts, dir nichts aus.	['Jetzt ', 'haben ', 'sie ', 'ihren ', 'Sohn ', 'dreißig ', 'Jahre ', 'lang ', 'verwöhnt ', 'und ', 'kaum ', 'hat ', 'er ', 'eine ', 'Freundin', ', ', 'zieht ', 'er ', 'mir ', 'nichts', ', ', 'dir ', 'nichts ', 'aus', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0]	['mir nichts, dir nichts']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Er warf sich – mir nichts, dir nichts – ins Kampfgetümmel.	['Er ', 'warf ', 'sich ', '– ', 'mir ', 'nichts', ', ', 'dir ', 'nichts ', '– ', 'ins ', 'Kampfgetümmel', '.']	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 0]	['mir nichts, dir nichts']	german	['mir nichts, dir nichts']	[1.0]	False	['O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O']
Meine Befehle sind in den Wind gesprochen. Es ist unmöglich, unter diesen Umständen zu führen. Es ist aus. Der Krieg ist verloren.	['Meine ', 'Befehle ', 'sind ', 'in ', 'den ', 'Wind ', 'gesprochen', '. ', 'Es ', 'ist ', 'unmöglich', ', ', 'unter ', 'diesen ', 'Umständen ', 'zu ', 'führen', '. ', 'Es ', 'ist ', 'aus', '. ', 'Der ', 'Krieg ', 'ist ', 'verloren', '.']	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['in den Wind gesprochen']	german	['in den wind gesprochen', 'es ist aus', 'der krieg ist verloren']	[1.0, 1.0, 1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']
Jetzt mal Butter bei die Fische: Hast du's gemacht oder nicht?	"['Jetzt ', 'mal ', 'Butter ', 'bei ', 'die ', 'Fische', ': ', 'Hast ', 'du', ""'s "", 'gemacht ', 'oder ', 'nicht', '?']"	['O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]	['Butter bei die Fische']	german	['butter bei die fische']	[1.0]	False	['O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Kommt, Jungs! Gebt mal bisschen Butter bei die Fische und wir gewinnen das Spiel!	['Kommt', ', ', 'Jungs', '! ', 'Gebt ', 'mal ', 'bisschen ', 'Butter ', 'bei ', 'die ', 'Fische ', 'und ', 'wir ', 'gewinnen ', 'das ', 'Spiel', '!']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0]	['Butter bei die Fische']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Wo seid ihr überall gewesen? – Nürnberg, Würzburg, Bamberg, so die Ecke.	['Wo ', 'seid ', 'ihr ', 'überall ', 'gewesen', '? ', '– ', 'Nürnberg', ', ', 'Würzburg', ', ', 'Bamberg', ', ', 'so ', 'die ', 'Ecke', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	['die Ecke']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Ich hab mir dein Geschrei jetzt zur Genüge angehört.	['Ich ', 'hab ', 'mir ', 'dein ', 'Geschrei ', 'jetzt ', 'zur ', 'Genüge ', 'angehört', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O', 'O']	[0, 0, 0, 0, 0, 0, 1, 2, 0, 0]	['zur Genüge']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Wir haben sie am Tag vorher angerufen und da hat sie über Nacht ein Gedicht für Omas Geburtstag aus dem Ärmel geschüttelt.	['Wir ', 'haben ', 'sie ', 'am ', 'Tag ', 'vorher ', 'angerufen ', 'und ', 'da ', 'hat ', 'sie ', 'über ', 'Nacht ', 'ein ', 'Gedicht ', 'für ', 'Omas ', 'Geburtstag ', 'aus ', 'dem ', 'Ärmel ', 'geschüttelt', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0]	['aus dem Ärmel geschüttelt']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Sie trug wesentlich dazu bei, dass der zuvor beliebte König in Ungnade fiel.	['Sie ', 'trug ', 'wesentlich ', 'dazu ', 'bei', ', ', 'dass ', 'der ', 'zuvor ', 'beliebte ', 'König ', 'in ', 'Ungnade ', 'fiel', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]	['in Ungnade fiel']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Hat er noch was gesagt? — Nee. Er war kurz angebunden.	['Hat ', 'er ', 'noch ', 'was ', 'gesagt', '? ', '— ', 'Nee', '. ', 'Er ', 'war ', 'kurz ', 'angebunden', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]	['kurz angebunden']	german	[]	[]	True	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Stein des Anstoßes sind die folgenden Zeilen: „Vater unser im Himmel/ Geheiligt werde die Lüge/ Mein Fleisch verkomme/ Mein Wille geschehe/ Und den Himmel gib uns auf Erden/ Und vergib uns unsere Gier/ Drum führe uns jetzt in Versuchung/ Und dann erlöse uns von all dem Bösen/ Ich geb euch Liebe/ Ich geb euch Hoffnung/ Doch nur zum Schein/ Denn die Massen woll’n betrogen sein.“	['Stein ', 'des ', 'Anstoßes ', 'sind ', 'die ', 'folgenden ', 'Zeilen', ': ', '„', 'Vater ', 'unser ', 'im ', 'Himmel', '/ ', 'Geheiligt ', 'werde ', 'die ', 'Lüge', '/ ', 'Mein ', 'Fleisch ', 'verkomme', '/ ', 'Mein ', 'Wille ', 'geschehe', '/ ', 'Und ', 'den ', 'Himmel ', 'gib ', 'uns ', 'auf ', 'Erden', '/ ', 'Und ', 'vergib ', 'uns ', 'unsere ', 'Gier', '/ ', 'Drum ', 'führe ', 'uns ', 'jetzt ', 'in ', 'Versuchung', '/ ', 'Und ', 'dann ', 'erlöse ', 'uns ', 'von ', 'all ', 'dem ', 'Bösen', '/ ', 'Ich ', 'geb ', 'euch ', 'Liebe', '/ ', 'Ich ', 'geb ', 'euch ', 'Hoffnung', '/ ', 'Doch ', 'nur ', 'zum ', 'Schein', '/ ', 'Denn ', 'die ', 'Massen ', 'woll', '’n ', 'betrogen ', 'sein', '.', '“']	['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['Stein des Anstoßes']	german	"['stein des anstoßes', 'vater unser im himmel', 'mein wille geschehe', 'und den himmel gib uns auf erden', 'und vergib uns unsere gier', 'drum führe uns jetzt in versuchung', 'und dann erlöse uns von all dem bösen', 'ich geb euch liebe', 'ich geb euch hoffnung', ""denn die massen woll'n betrogen sein""]"	[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]	False	['B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Zumindest die Vorbehalte gegenüber den Ultraorthodoxen scheinen die Kibbuzniks mit der weiteren Gesellschaft zu teilen. Besonders die Unterstützungsleistungen, die jene beziehen, bildeten an den Protesten in Tel Aviv einen zusätzlichen Stein des Anstoßes.	['Zumindest ', 'die ', 'Vorbehalte ', 'gegenüber ', 'den ', 'Ultraorthodoxen ', 'scheinen ', 'die ', 'Kibbuzniks ', 'mit ', 'der ', 'weiteren ', 'Gesellschaft ', 'zu ', 'teilen', '. ', 'Besonders ', 'die ', 'Unterstützungsleistungen', ', ', 'die ', 'jene ', 'beziehen', ', ', 'bildeten ', 'an ', 'den ', 'Protesten ', 'in ', 'Tel ', 'Aviv ', 'einen ', 'zusätzlichen ', 'Stein ', 'des ', 'Anstoßes', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0]	['Stein des Anstoßes']	german	['einen stein des anstoßes bilden']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Da hat der Kanzlerkandidat Gerhard Schröder beim Barte des Propheten geschworen, die Renten nicht zu kürzen.	['Da ', 'hat ', 'der ', 'Kanzlerkandidat ', 'Gerhard ', 'Schröder ', 'beim ', 'Barte ', 'des ', 'Propheten ', 'geschworen', ', ', 'die ', 'Renten ', 'nicht ', 'zu ', 'kürzen', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]	['beim Barte des Propheten']	german	['beim barte des propheten schwören']	[1.0]	False	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
Das muss, beim Barte des Propheten, ganz wundervoll sein!	['Das ', 'muss', ', ', 'beim ', 'Barte ', 'des ', 'Propheten', ', ', 'ganz ', 'wundervoll ', 'sein', '!']	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0]	['beim Barte des Propheten']	german	['beim barte des propheten']	[1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O']
Doch wenn, beim Barte des Propheten, die eben noch dem Untergang geweihte Firma nach zwei Monaten am gleichen Ort unter anderem Namen neu ersteht wie Phönix aus dem Wüstensand und ihre ornamentreichen Knotenwunder jetzt zu noch unglaublicheren Hammerpreisen annonciert, dann kann auch der treueste Anhänger orientalischer Märchenerzähler ins Grübeln kommen.	['Doch ', 'wenn', ', ', 'beim ', 'Barte ', 'des ', 'Propheten', ', ', 'die ', 'eben ', 'noch ', 'dem ', 'Untergang ', 'geweihte ', 'Firma ', 'nach ', 'zwei ', 'Monaten ', 'am ', 'gleichen ', 'Ort ', 'unter ', 'anderem ', 'Namen ', 'neu ', 'ersteht ', 'wie ', 'Phönix ', 'aus ', 'dem ', 'Wüstensand ', 'und ', 'ihre ', 'ornamentreichen ', 'Knotenwunder ', 'jetzt ', 'zu ', 'noch ', 'unglaublicheren ', 'Hammerpreisen ', 'annonciert', ', ', 'dann ', 'kann ', 'auch ', 'der ', 'treueste ', 'Anhänger ', 'orientalischer ', 'Märchenerzähler ', 'ins ', 'Grübeln ', 'kommen', '.']	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	[0, 0, 0, 1, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['beim Barte des Propheten']	german	['beim barte des propheten', 'wie phönix aus dem wüstensand']	[1.0, 1.0]	False	['O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'I-IDIOM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
